"","season","head_coach","conference","record","win_perc"
"1",2025,"Aja Scheuber","CCAA","6-19-0",0.24
"2",2024,"Aja Scheuber","CCAA","19-28-0",0.404
"3",2023,"Aja Scheuber","CCAA","13-32-0",0.289
"4",2022,"Aja Scheuber","CCAA","17-30-0",0.362
"5",2021,"Jessica Ventoza","CCAA","0-0-0",NA
"6",2020,"Jessica Ventoza","CCAA","10-15-0",0.4
"7",2019,"Jessica Ventoza","CCAA","23-32-0",0.418
"8",2018,"Jessica Ventoza","CCAA","32-22-0",0.593
"9",2017,"Jessica Ventoza","CCAA","23-32-0",0.418
"10",2016,"Jessica Ventoza","CCAA","25-28-0",0.472
"11",2015,"Jan Schefkowitz","CCAA","15-35-0",0.3
"12",2014,"Jan Schefkowitz","CCAA","17-38-0",0.309
"13",2013,"Jan Schefkowitz","CCAA","18-42-0",0.3
"14",2012,"Jan Schefkowitz","CCAA","16-43-0",0.271
"15",2011,"Jan Schefkowitz","CCAA","21-30-0",0.412
"16",2010,"Jan Schefkowitz","CCAA","13-36-1",0.265
"17",2009,"Jan Schefkowitz","CCAA","35-21-0",0.625
"18",2008,"Jan Schefkowitz","CCAA","31-23-0",0.574
"19",2007,"Jan Schefkowitz","CCAA","50-20-0",0.714
"20",2006,"Jan Schefkowitz","CCAA","34-23-0",0.596
"21",2005,"Jan Schefkowitz","CCAA","24-32-0",0.429
"22",2004,"Jan Schefkowitz","CCAA","20-37-0",0.351
"23",2003,"Jan Schefkowitz","CCAA","31-25-0",0.554
"24",2002,"Jan Schefkowitz","CCAA","30-35-0",0.462
"25",2001,"Jan Schefkowitz","-","43-22-0",0.662
"26",2000,"Jan Schefkowitz","-","43-20-0",0.683
"27",1999,"Jan Schefkowitz","-","26-29-0",0.473
"28",1998,"Jan Schefkowitz","-","11-44-0",0.2
"29",1997,"Jan Schefkowitz","-","6-48-0",0.111
"30",1996,"Jan Schefkowitz","-","22-36-0",0.379
"31",1995,"Jan Schefkowitz","-","17-29-0",0.37
"32",1994,"Jan Schefkowitz","-","20-27-0",0.426
"33",1993,"Jan Schefkowitz","-","14-34-0",0.292
"34",1992,"Tami Roggensack","-","7-36-0",0.163
"35",1991,"John Van Zant","-","13-35-0",0.271
"36",1990,"John Van Zant","-","16-35-0",0.314
