"","season","head_coach","conference","record","win_perc"
"1",2025,"Kim Begley","United East","10-9-0",0.526
"2",2024,"Kim Begley","United East","4-24-0",0.143
"3",2023,"Kim Begley","CSAC","17-17-0",0.5
"4",2022,"Kim Begley","CSAC","19-13-0",0.594
"5",2021,"Kim Begley","CSAC","19-5-0",0.792
"6",2020,"Kim Begley","CSAC","3-5-0",0.375
"7",2019,"Kim Begley","CSAC","19-24-0",0.442
"8",2018,"Katie Apostolopoulos","CSAC","19-18-0",0.514
"9",2017,"Katie Apostolopoulos","CSAC","23-13-0",0.639
"10",2016,"Missy Mariano","CSAC","21-21-0",0.5
"11",2015,"Christine Lombardo-Zaun","CSAC","10-20-0",0.333
"12",2014,"Lisa McGuirk","CSAC","1-31-0",0.031
"13",2013,"Herm Gestl","CSAC","10-18-0",0.357
"14",2012,"Herm Gestl","CSAC","19-19-0",0.5
"15",2011,"Herm Gestl","CSAC","11-21-0",0.344
"16",2010,"Herm Gestl","CSAC","10-24-0",0.294
"17",2009,"Kristi Henritzy","CSAC","11-19-0",0.367
"18",2008,"Kristi Henritzy","CSAC","13-19-0",0.406
"19",2007,"Kristi Henritzy","CSAC","8-23-0",0.258
"20",2006,"Kristi Henritzy","CSAC","17-14-0",0.548
"21",2005,"Kristi Henritzy","CSAC","6-22-0",0.214
"22",2004,"Kristi Henritzy","CSAC","11-17-0",0.393
"23",2003,"Kristi Henritzy","-","6-16-0",0.273
"24",2002,"Dianne Scott","CSAC","13-15-0",0.464
"25",2001,"Rachel Turoscy","-","3-23-0",0.115
"26",2000,"Rachel Turoscy","-","8-24-0",0.25
"27",1999,"Rachel Turoscy","-","3-27-0",0.1
"28",1998,"Rachel Turoscy","-","3-20-0",0.13
