"","season","head_coach","conference","record","win_perc"
"1",2025,"Katie Anderson","CCIW","9-7-0",0.562
"2",2024,"Katie Anderson","CCIW","11-26-0",0.297
"3",2023,"Katie Anderson","CCIW","18-22-1",0.45
"4",2022,"Katie Anderson","CCIW","13-19-0",0.406
"5",2021,"Katie Anderson","CCIW","18-19-0",0.486
"6",2020,"Katie Anderson","CCIW","5-5-0",0.5
"7",2019,"Katie Anderson","CCIW","15-23-0",0.395
"8",2018,"Katie Anderson","CCIW","12-26-0",0.316
"9",2017,"Katie Anderson","CCIW","6-34-0",0.15
"10",2016,"Katie Anderson","CCIW","9-26-0",0.257
"11",2015,"Katie Anderson","CCIW","6-32-0",0.158
"12",2014,"Dan Gooris","CCIW","18-18-0",0.5
"13",2013,"Dan Gooris","CCIW","24-12-0",0.667
"14",2012,"Dan Gooris","CCIW","22-18-0",0.55
"15",2011,"Dan Gooris","CCIW","17-19-0",0.472
"16",2010,"Dan Gooris","CCIW","19-18-0",0.514
"17",2009,"Dan Gooris","CCIW","12-18-0",0.4
"18",2008,"Dan Gooris","CCIW","13-17-0",0.433
"19",2007,"Dan Gooris","CCIW","13-20-0",0.394
"20",2006,"Dan Gooris","CCIW","16-24-0",0.4
"21",2005,"Dan Gooris","CCIW","5-32-0",0.135
"22",2004,"Dan Gooris","CCIW","11-27-0",0.289
"23",2003,"Dan Gooris","CCIW","8-26-1",0.235
"24",2002,"Dan Gooris","CCIW","19-22-0",0.463
"25",2001,"Dan Gooris","-","19-14-2",0.576
"26",2000,"Dan Gooris","-","12-21-0",0.364
"27",1999,"Dan Gooris","-","13-21-0",0.382
"28",1998,"Dan Gooris","-","12-24-0",0.333
"29",1997,"Dan Gooris","-","9-24-0",0.273
"30",1995,"Peter Roman","-","0-20-0",0
"31",1994,"John Agurkis","-","4-20-0",0.167
