"","season","head_coach","conference","record","win_perc"
"1",2025,"Sam Duran-Kukuk","WCC","11-18-0",0.379
"2",2024,"Brian Kolze","WCC","17-36-0",0.321
"3",2023,"Brian Kolze","WCC","10-30-0",0.25
"4",2022,"Brian Kolze","WCC","12-37-0",0.245
"5",2021,"Brian Kolze","WCC","14-14-1",0.5
"6",2020,"Brian Kolze","WCC","15-10-0",0.6
"7",2019,"Brian Kolze","WCC","17-32-0",0.347
"8",2018,"Brian Kolze","WCC","20-27-0",0.426
"9",2017,"Brian Kolze","WCC","28-26-0",0.519
"10",2016,"Brian Kolze","WCC","20-28-0",0.417
"11",2015,"Brian Kolze","WCC","19-36-0",0.345
"12",2014,"Brian Kolze","WCC","20-28-0",0.417
"13",2013,"Brian Kolze","Big West","28-28-0",0.5
"14",2012,"Brian Kolze","Big West","38-21-0",0.644
"15",2011,"Brian Kolze","Big West","37-19-0",0.661
"16",2010,"Brian Kolze","Big West","24-30-0",0.444
"17",2009,"Brian Kolze","Big West","18-34-0",0.346
"18",2008,"Brian Kolze","Big West","25-34-0",0.424
"19",2007,"Brian Kolze","Big West","36-24-0",0.6
"20",2006,"Brian Kolze","Big West","26-25-0",0.51
"21",2005,"Brian Kolze","Big West","30-25-0",0.545
"22",2004,"Brian Kolze","Big West","36-23-0",0.61
"23",2003,"Brian Kolze","Big West","34-24-0",0.586
"24",2002,"Brian Kolze","Big West","43-17-0",0.717
"25",2001,"Brian Kolze","Big West","50-13-0",0.794
"26",2000,"Brian Kolze","Big West","31-25-0",0.554
"27",1999,"Brian Kolze","Big West","38-22-0",0.633
"28",1998,"Brian Kolze","-","29-22-0",0.569
"29",1997,"Brian Kolze","Big West","31-24-0",0.564
"30",1996,"Brian Kolze","-","26-25-0",0.51
"31",1995,"Brian Kolze","-","17-35-0",0.327
"32",1994,"Brian Kolze","-","30-30-0",0.5
"33",1993,"Brian Kolze","-","19-34-1",0.358
"34",1992,"Theresa Lowry","-","23-38-0",0.377
"35",1991,"Theresa Lowry","-","26-37-1",0.413
"36",1990,"Theresa Lowry","-","30-28-0",0.517
"37",1989,"Theresa Lowry","-","22-33-0",0.4
"38",1988,"Theresa Lowry","-","35-27-0",0.565
"39",1987,"Theresa Lowry","-","16-43-0",0.271
"40",1986,"Theresa Lowry","-","34-18-1",0.654
