"","season","head_coach","conference","record","win_perc"
"1",2025,"Aaron Robinson","MEAC","3-26-0",0.103
"2",2024,"Aaron Robinson","MEAC","11-35-0",0.239
"3",2023,"Karla Ross","MEAC","14-30-0",0.318
"4",2022,"Karla Ross","MEAC","18-33-0",0.353
"5",2021,"Karla Ross","MEAC","0-0-0",NA
"6",2020,"Karla Ross","MEAC","3-18-0",0.143
"7",2019,"Karla Ross","MEAC","9-31-0",0.225
"8",2018,"Sam Douglas","MEAC","4-35-0",0.103
"9",2017,"Sam Douglas","MEAC","11-27-0",0.289
"10",2016,"Sam Douglas","MEAC","11-30-0",0.268
"11",2015,"Sam Douglas","MEAC","7-32-0",0.179
"12",2014,"Sam Douglas","MEAC","7-40-0",0.149
"13",2013,"Sam Douglas","MEAC","14-33-0",0.298
"14",2012,"Sam Douglas","MEAC","0-34-0",0
"15",2011,"Sam Douglas","MEAC","7-40-0",0.149
"16",2010,"Sam Douglas","MEAC","1-33-0",0.029
"17",2009,"Sam Douglas","MEAC","20-18-0",0.526
"18",2008,"Sam Douglas","MEAC","10-34-0",0.227
"19",2007,"Sam Douglas","MEAC","4-36-0",0.1
"20",2006,"Kirkland Hall","MEAC","5-42-0",0.106
"21",2005,"Kirkland Hall","MEAC","8-32-0",0.2
"22",2004,"Barbara Hicks","MEAC","5-39-0",0.114
"23",2003,"Barbara Hicks","MEAC","10-29-0",0.256
"24",2002,"Barbara Hicks","MEAC","4-42-0",0.087
"25",2001,"Barbara Hicks","MEAC","0-41-0",0
"26",2000,"W. Wright-Harrison","MEAC","4-28-0",0.125
"27",1999,"Sam Douglas","MEAC","8-37-0",0.178
"28",1998,"Rita Davis","-","10-27-0",0.27
"29",1997,"Kirkland Hall","MEAC","8-21-0",0.276
"30",1996,"Kirkland Hall","-","21-20-0",0.512
"31",1995,"Kirkland Hall","-","27-18-0",0.6
"32",1994,"Kirkland Hall","-","25-22-0",0.532
"33",1993,"","-","8-29-0",0.216
"34",1992,"Dennis Laird","-","8-16-0",0.333
