"","season","head_coach","conference","record","win_perc"
"1",2025,"Kelsey Smith","North Atlantic","6-20-0",0.231
"2",2024,"Kelsey Smith","North Atlantic","7-26-0",0.212
"3",2023,"Kelsey Smith","NECC","3-38-0",0.073
"4",2022,"Kelsey Smith","NECC","18-17-0",0.514
"5",2021,"Heather Ross","NECC","15-7-0",0.682
"6",2020,"Heather Ross","NECC","1-9-0",0.1
"7",2019,"Heather Ross","NECC","26-15-0",0.634
"8",2018,"Heather Ross","NECC","21-12-0",0.636
"9",2017,"Heather Ross","NECC","21-19-0",0.525
"10",2016,"Jennifer Benway","NECC","22-17-0",0.564
"11",2015,"Jennifer Benway","NECC","13-19-0",0.406
"12",2014,"Jennifer Benway","NECC","21-15-0",0.583
"13",2013,"Jennifer Benway","NECC","24-19-0",0.558
"14",2012,"Jennifer Benway","NECC","28-12-0",0.7
"15",2011,"Jennifer Benway","NECC","29-8-0",0.784
"16",2010,"Jennifer Benway","NECC","26-13-0",0.667
"17",2009,"Jennifer Benway","NECC","27-14-0",0.659
"18",2008,"Jennifer Benway","North Atlantic","30-12-0",0.714
"19",2007,"Jennifer Benway","North Atlantic","17-13-0",0.567
"20",2006,"Jennifer Benway","North Atlantic","16-17-0",0.485
"21",2005,"Jennifer Benway","North Atlantic","7-21-0",0.25
"22",2004,"Jennifer Benway","-","14-16-0",0.467
"23",2003,"Jennifer Benway","-","8-20-0",0.286
"24",2002,"Jennifer Benway","-","6-23-0",0.207
"25",2001,"Jennifer Benway","-","2-28-0",0.067
"26",2000,"Jennifer Benway","-","0-20-0",0
