"","team_name","team_id","season","head_coach","division","conference","wins","losses","ties","win_perc"
"1","Albright","16","2025","Zoe Robertson","D-III","MAC Commonwealth",0,0,0,0
"2","Albright","16","2024","Zoe Robertson","D-III","MAC Commonwealth",7,30,0,0.189
"3","Albright","16","2023","Zoe Robertson","D-III","MAC Commonwealth",3,28,0,0.097
"4","Albright","16","2022","Zoe Robertson","D-III","MAC Commonwealth",4,28,0,0.125
"5","Albright","16","2021","Marguerite DeLucas","D-III","MAC Commonwealth",0,12,0,0
"6","Albright","16","2020","Marguerite DeLucas","D-III","MAC Commonwealth",0,2,0,0
"7","Albright","16","2019","Marguerite DeLucas","D-III","MAC Commonwealth",25,18,0,0.581
"8","Albright","16","2018","Scot Adams","D-III","MAC Commonwealth",14,19,NA,0.424
"9","Albright","16","2017","Scot Adams","D-III","MAC Commonwealth",17,19,0,0.472
"10","Albright","16","2016","Frank Keating, Jr.","D-III","MAC Commonwealth",24,16,0,0.6
"11","Albright","16","2015","Frank Keating, Jr.","D-III","MAC Commonwealth",19,16,0,0.543
"12","Albright","16","2014","Frank Keating, Jr.","D-III","MAC Commonwealth",10,19,0,0.345
"13","Albright","16","2013","Kate Wheeler","D-III","MAC Commonwealth",10,27,0,0.27
"14","Albright","16","2012","Izzy Trottier","D-III","MAC Commonwealth",7,24,1,0.234
"15","Albright","16","2011","Amber Nichols","D-III","MAC Commonwealth",9,27,0,0.25
"16","Albright","16","2010","Amber Nichols","D-III","MAC Commonwealth",7,27,0,0.206
"17","Albright","16","2009","Kate Wheeler","D-III","MAC Commonwealth",5,29,0,0.147
"18","Albright","16","2008","Angela Nunan","D-III","MAC Commonwealth",10,28,0,0.263
"19","Albright","16","2007","Angela Nunan","D-III","MAC Commonwealth",13,22,0,0.371
"20","Albright","16","2006","Angela Nunan","D-III","MAC Commonwealth",14,23,0,0.378
"21","Albright","16","2005","Angela Nunan","D-III","MAC Commonwealth",23,15,0,0.605
"22","Albright","16","2004","Angela Nunan","D-III","MAC Commonwealth",18,17,0,0.514
"23","Albright","16","2003","Angela Nunan","D-III","MAC Commonwealth",12,14,0,0.462
"24","Albright","16","2002","Dr. Steve George","D-III","-",24,8,0,0.75
"25","Albright","16","2001","Dr. Steve George","D-III","-",25,15,1,0.622
"26","Albright","16","1900","Dr. Steve George","D-III","-",17,12,NA,0.586
"27","Albright","16","1999","Jim Campbell","D-III","-",9,24,1,0.279
"28","Albright","16","1998","Jim Campbell","D-III","-",4,30,0,0.118
"29","Albright","16","1997","Clement Meccia","D-III","-",3,31,NA,0.088
"30","Albright","16","1996","Brian Stufflet","D-III","-",2,21,NA,0.087
"31","Albright","16","1995","Brian Stufflet","D-III","-",5,23,NA,0.179
"32","Albright","16","1994","","D-III","-",NA,NA,NA,NA
"33","Albright","16","1993","Larry Youse","D-III","-",2,11,1,0.179
"34","Albright","16","1992","Larry Youse","D-III","-",2,16,NA,0.111
"35","Albright","16","1991","","D-III","-",NA,NA,NA,NA
"36","Albright","16","1990","","D-III","-",NA,NA,NA,NA
"37","Albright","16","1987","","D-III","-",NA,NA,NA,NA
"38","Albright","16","1983","","D-III","-",NA,NA,NA,NA
"39","Albright","16","1982","","D-III","-",NA,NA,NA,NA
"40","Albright","16","","","","",344,651,4,0.346
