"","season","head_coach","conference","record","win_perc"
"1",2025,"Kate Bowen","NE10","12-10-0",0.545
"2",2024,"Jillian Rispoli","NE10","19-24-0",0.442
"3",2023,"Jillian Rispoli","NE10","14-28-0",0.333
"4",2022,"Jillian Rispoli","NE10","18-21-1",0.462
"5",2021,"Jillian Rispoli","NE10","14-15-0",0.483
"6",2020,"Jillian Rispoli","NE10","1-6-0",0.143
"7",2019,"Jillian Rispoli","NE10","9-34-0",0.209
"8",2018,"Jillian Rispoli","NE10","11-31-0",0.262
"9",2017,"Jillian Rispoli","NE10","8-27-0",0.229
"10",2016,"Jillian Rispoli","NE10","12-27-0",0.308
"11",2015,"Jillian Rispoli","NE10","17-17-0",0.5
"12",2014,"Lisa Barbaro","NE10","18-18-0",0.5
"13",2013,"Lisa Barbaro","NE10","32-22-0",0.593
"14",2012,"Lisa Barbaro","NE10","43-13-0",0.768
"15",2011,"Lisa Barbaro","NE10","35-20-0",0.636
"16",2010,"Lisa Barbaro","NE10","42-13-0",0.764
"17",2009,"Lisa Barbaro","NE10","33-16-0",0.673
"18",2008,"Lisa Barbaro","NE10","25-26-0",0.49
"19",2007,"Lisa Barbaro","NE10","32-17-0",0.653
"20",2006,"Lisa Barbaro","NE10","24-24-3",0.5
"21",2005,"Lisa Barbaro","NE10","22-15-2",0.595
"22",2004,"Patti Fernandes","NE10","11-31-0",0.262
"23",2003,"Patti Fernandes","NE10","14-28-0",0.333
"24",2002,"Patti Fernandes","NE10","25-23-0",0.521
"25",2001,"Patti Fernandes","-","31-23-0",0.574
"26",2000,"Patti Fernandes","-","21-23-1",0.477
"27",1999,"Patti Fernandes","-","18-28-1",0.391
"28",1998,"Patti Fernandes","-","21-20-1",0.512
"29",1997,"Patti Fernandes","-","20-20-0",0.5
"30",1996,"Patti Fernandes","-","23-21-1",0.523
"31",1995,"Patti Fernandes","-","18-27-0",0.4
"32",1994,"Patti Fernandes","-","17-25-0",0.405
"33",1993,"Patti Fernandes","-","16-25-0",0.39
"34",1992,"Patti Fernandes","-","11-29-0",0.275
"35",1991,"Patti Fernandes","-","11-35-2",0.239
