"","season","head_coach","conference","record","win_perc"
"1",2025,"Gretta Melsted","NSIC","30-6-0",0.833
"2",2024,"Gretta Melsted","NSIC","50-15-0",0.769
"3",2023,"Gretta Melsted","NSIC","39-15-0",0.722
"4",2022,"Gretta Melsted","NSIC","50-10-0",0.833
"5",2021,"Gretta Melsted","NSIC","49-8-0",0.86
"6",2020,"Gretta Melsted","NSIC","16-3-0",0.842
"7",2019,"Gretta Melsted","NSIC","61-11-0",0.847
"8",2018,"Gretta Melsted","NSIC","42-15-0",0.737
"9",2017,"Gretta Melsted","NSIC","40-16-0",0.714
"10",2016,"Gretta Melsted","NSIC","35-19-0",0.648
"11",2015,"Gretta Melsted","NSIC","53-11-0",0.828
"12",2014,"Gretta Melsted","NSIC","46-15-0",0.754
"13",2013,"Gretta Melsted","NSIC","32-17-0",0.653
"14",2012,"Gretta Melsted","NSIC","53-12-0",0.815
"15",2011,"Gretta Melsted","NSIC","50-11-0",0.82
"16",2010,"Gretta Melsted","NSIC","46-14-0",0.767
"17",2009,"Gretta Melsted","NSIC","31-23-0",0.574
"18",2008,"Gretta Melsted","NCC","17-28-0",0.378
"19",2007,"Gretta Melsted","NCC","22-29-0",0.431
"20",2006,"Jenny Hill","NCC","31-21-0",0.596
"21",2005,"Jenny Hill","NCC","25-18-1",0.581
"22",2004,"Jenny Hill","NCC","35-21-0",0.625
"23",2003,"Sandy Jerstad","NCC","44-21-0",0.677
"24",2002,"Sandy Jerstad","-","49-18-0",0.731
"25",2001,"Sandy Jerstad","-","46-16-0",0.742
"26",2000,"Sandy Jerstad","-","58-12-0",0.829
"27",1999,"Sandy Jerstad","-","53-12-0",0.815
"28",1998,"Sandy Jerstad","-","50-15-0",0.769
"29",1997,"Sandy Jerstad","-","37-17-0",0.685
"30",1996,"Sandy Jerstad","-","37-19-0",0.661
"31",1995,"Sandy Jerstad","-","38-14-0",0.731
"32",1994,"Sandy Jerstad","-","57-7-0",0.891
"33",1993,"Sandy Jerstad","-","59-14-0",0.808
"34",1992,"Sandy Jerstad","-","40-15-0",0.727
"35",1991,"Sandy Jerstad","-","61-4-1",0.938
"36",1990,"Sandy Jerstad","-","47-8-0",0.855
"37",1989,"Sandy Jerstad","-","42-14-0",0.75
"38",1988,"Sandy Jerstad","-","40-15-0",0.727
"39",1987,"Sandy Jerstad","-","35-17-0",0.673
"40",1986,"Sandy Jerstad","-","39-10-0",0.796
"41",1985,"Sandy Jerstad","-","31-17-0",0.646
"42",1984,"Sandy Jerstad","-","20-13-0",0.606
"43",1983,"Sandy Jerstad","-","24-13-0",0.649
"44",1982,"Sandy Jerstad","-","21-13-0",0.618
"45",1981,"Sandy Jerstad","-","24-8-0",0.75
"46",1980,"Sandy Jerstad","-","26-15-1",0.634
"47",1979,"Sandy Jerstad","-","14-10-0",0.583
"48",1978,"Sandy Jerstad","-","12-15-0",0.444
"49",1977,"Sandy Jerstad","-","7-7-0",0.5
