"","season","head_coach","conference","record","win_perc"
"1",2025,"Ryan Bliss","CCS","1-19-0",0.05
"2",2024,"Ryan Bliss","CCS","5-25-0",0.167
"3",2023,"Ryan Bliss","CCS","5-29-0",0.147
"4",2022,"Brady Tigert","USA South","24-16-0",0.6
"5",2021,"Penny Siqueiros","USA South","14-16-0",0.467
"6",2020,"Penny Siqueiros","USA South","5-5-0",0.5
"7",2019,"Penny Siqueiros","USA South","9-25-0",0.265
"8",2018,"Marissa Giovannini","USA South","10-24-0",0.294
"9",2017,"Dickey Hightower","USA South","6-29-0",0.171
"10",2016,"Dickey Hightower","Great South","13-31-0",0.295
"11",2015,"Dickey Hightower","Great South","15-23-0",0.395
"12",2014,"Dickey Hightower","Great South","5-37-0",0.119
"13",2013,"Dickey Hightower","Great South","1-34-0",0.029
"14",2012,"Dickey Hightower","Great South","6-23-0",0.207
"15",2011,"Tonya Medders","Great South","1-29-0",0.033
"16",2010,"Tonya Medders","Great South","2-28-0",0.067
"17",2009,"Shannon Fevella","Great South","5-26-0",0.161
"18",2008,"Haley Henry","Great South","5-30-0",0.143
"19",2007,"","Great South","13-23-0",0.361
"20",2006,"","Great South","6-27-0",0.182
"21",2005,"Joanna Lane","Great South","5-29-0",0.147
"22",2004,"Joanna Lane","-","9-32-0",0.22
"23",2002,"Robert Brunel","-","10-23-0",0.303
"24",2000,"Robert Brunel","-","13-20-0",0.394
"25",1998,"Robert Brunel","-","2-15-0",0.118
