"","season","head_coach","conference","record","win_perc"
"1",2025,"JoAnn Krueger","NACC","1-7-0",0.125
"2",2024,"JoAnn Krueger","NACC","10-30-0",0.25
"3",2023,"JoAnn Krueger","NACC","14-25-1",0.359
"4",2022,"JoAnn Krueger","NACC","7-31-0",0.184
"5",2021,"JoAnn Krueger","MWC","19-9-0",0.679
"6",2019,"JoAnn Krueger","MWC","23-18-0",0.561
"7",2018,"JoAnn Krueger","MWC","11-21-0",0.344
"8",2017,"JoAnn Krueger","MWC","21-16-0",0.568
"9",2016,"JoAnn Krueger","MWC","6-30-0",0.167
"10",2015,"JoAnn Krueger","MWC","13-21-0",0.382
"11",2014,"JoAnn Krueger","MWC","18-17-0",0.514
"12",2013,"JoAnn Krueger","MWC","20-15-0",0.571
"13",2012,"JoAnn Krueger","MWC","18-20-0",0.474
"14",2011,"JoAnn Krueger","MWC","20-18-0",0.526
"15",2010,"JoAnn Krueger","MWC","33-8-0",0.805
"16",2009,"JoAnn Krueger","MWC","17-19-0",0.472
"17",2008,"JoAnn Krueger","MWC","16-16-0",0.5
"18",2007,"JoAnn Krueger","MWC","20-14-0",0.588
"19",2006,"JoAnn Krueger","MWC","21-14-0",0.6
"20",2005,"JoAnn Krueger","MWC","10-21-1",0.323
"21",2004,"JoAnn Krueger","MWC","12-19-0",0.387
"22",2003,"JoAnn Krueger","MWC","20-10-0",0.667
"23",2002,"JoAnn Krueger","MWC","17-15-0",0.531
"24",2001,"JoAnn Krueger","-","22-13-0",0.629
"25",2000,"JoAnn Krueger","-","19-13-0",0.594
"26",1999,"JoAnn Krueger","-","14-18-0",0.438
"27",1998,"JoAnn Krueger","-","15-17-0",0.469
"28",1997,"Lee Wagner","-","12-18-0",0.4
"29",1996,"Lee Wagner","-","17-12-0",0.586
"30",1995,"Connie Tilley","-","10-16-0",0.385
"31",1994,"Connie Tilley","-","16-12-0",0.571
"32",1993,"Connie Tilley","-","16-7-0",0.696
"33",1992,"Connie Tilley","-","19-6-0",0.76
"34",1991,"Connie Tilley","-","20-8-0",0.714
"35",1990,"Connie Tilley","-","16-12-0",0.571
"36",1989,"Connie Tilley","-","19-10-0",0.655
"37",1988,"Connie Tilley","-","14-9-0",0.609
"38",1987,"Connie Tilley","-","14-8-0",0.636
"39",1986,"Connie Tilley","-","21-9-0",0.7
"40",1985,"Connie Tilley","-","15-9-0",0.625
"41",1984,"Connie Tilley","-","13-10-0",0.565
"42",1983,"Connie Tilley","-","6-5-0",0.545
