"","season","head_coach","conference","record","win_perc"
"1",2025,"Tony Draves","NACC","5-9-0",0.357
"2",2024,"Tony Draves","NACC","26-20-0",0.565
"3",2023,"Tony Draves","NACC","17-21-0",0.447
"4",2022,"Tony Draves","NACC","15-18-0",0.455
"5",2021,"Tony Draves","NACC","23-20-0",0.535
"6",2020,"Tony Draves","NACC","8-6-0",0.571
"7",2019,"Tony Draves","NACC","27-15-0",0.643
"8",2018,"Tony Draves","NACC","26-13-0",0.667
"9",2017,"Tony Draves","NACC","27-16-0",0.628
"10",2016,"Tony Draves","NACC","22-18-0",0.55
"11",2015,"Tony Draves","NACC","14-24-0",0.368
"12",2014,"Ashley Steltenpohl","NACC","14-24-0",0.368
"13",2013,"Ashley Steltenpohl","NACC","11-25-0",0.306
"14",2012,"Ashley Steltenpohl","NACC","21-20-0",0.512
"15",2011,"Ashley Steltenpohl","NACC","13-24-0",0.351
"16",2010,"Brett Prosek","NACC","21-21-0",0.5
"17",2009,"Brett Prosek","NACC","20-18-0",0.526
"18",2008,"Brett Prosek","NACC","28-15-0",0.651
"19",2007,"Brett Prosek","NACC","24-14-0",0.632
"20",2006,"Ann Felker","NACC","19-25-0",0.432
"21",2005,"Ann Felker","Lake Michigan","28-16-0",0.636
"22",2004,"Ann Felker","Lake Michigan","20-21-0",0.488
"23",2003,"Becky Iaccino","Lake Michigan","18-18-0",0.5
"24",2002,"Amy Smith","Lake Michigan","17-12-0",0.586
"25",2001,"Ann Felker","-","22-15-0",0.595
"26",2000,"Ann Felker","-","22-14-0",0.611
"27",1999,"Michelle Grimm","-","15-26-0",0.366
"28",1998,"Michelle Grimm","-","13-22-0",0.371
