"","season","head_coach","conference","record","win_perc"
"1",2025,"Patty Gasso","SEC","33-3-0",0.917
"2",2024,"Patty Gasso","Big 12","59-7-0",0.894
"3",2023,"Patty Gasso","Big 12","61-1-0",0.984
"4",2022,"Patty Gasso","Big 12","59-3-0",0.952
"5",2021,"Patty Gasso","Big 12","56-4-0",0.933
"6",2020,"Patty Gasso","Big 12","20-4-0",0.833
"7",2019,"Patty Gasso","Big 12","57-6-0",0.905
"8",2018,"Patty Gasso","Big 12","57-5-0",0.919
"9",2017,"Patty Gasso","Big 12","61-9-0",0.871
"10",2016,"Patty Gasso","Big 12","57-8-0",0.877
"11",2015,"Patty Gasso","Big 12","49-9-0",0.845
"12",2014,"Patty Gasso","Big 12","51-13-0",0.797
"13",2013,"Patty Gasso","Big 12","57-4-0",0.934
"14",2012,"Patty Gasso","Big 12","53-10-3",0.841
"15",2011,"Patty Gasso","Big 12","43-19-0",0.694
"16",2010,"Patty Gasso","Big 12","47-12-0",0.797
"17",2009,"Patty Gasso","Big 12","41-16-0",0.719
"18",2008,"Patty Gasso","Big 12","47-14-0",0.77
"19",2007,"Patty Gasso","Big 12","55-8-0",0.873
"20",2006,"Patty Gasso","Big 12","40-21-1",0.656
"21",2005,"Patty Gasso","Big 12","50-17-0",0.746
"22",2004,"Patty Gasso","Big 12","45-22-1",0.672
"23",2003,"Patty Gasso","Big 12","47-14-0",0.77
"24",2002,"Patty Gasso","Big 12","49-16-0",0.754
"25",2001,"Patty Gasso","Big 12","50-9-0",0.847
"26",2000,"Patty Gasso","Big 12","66-8-0",0.892
"27",1999,"Patty Gasso","Big 12","40-16-0",0.714
"28",1998,"Patty Gasso","-","49-15-0",0.766
"29",1997,"Patty Gasso","Big 12","55-19-0",0.743
"30",1996,"Patty Gasso","-","50-20-0",0.714
"31",1995,"Patty Gasso","-","43-23-0",0.652
"32",1994,"Jim Beitia","-","58-15-0",0.795
"33",1993,"Michelle Thomas","-","22-28-0",0.44
"34",1992,"Jim Beitia","-","40-26-0",0.606
"35",1991,"Michelle Thomas","-","36-23-0",0.61
"36",1990,"Michelle Thomas","-","13-31-0",0.295
"37",1989,"Michelle Thomas","-","16-40-0",0.286
"38",1988,"Michelle Thomas","-","18-26-0",0.409
"39",1987,"Michelle Thomas","-","29-21-0",0.58
"40",1986,"Michelle Thomas","-","26-17-0",0.605
"41",1985,"Michelle Thomas","-","24-16-0",0.6
