"","season","head_coach","conference","record","win_perc"
"1","2025","Caroline Hill","SAC","3-1-0",0.75
"2","2024","Caroline Hill","SAC","25-19-0",0.568
"3","2023","Caroline Hill","SAC","24-24-0",0.5
"4","2022","Amy Yates","SAC","30-17-0",0.638
"5","2021","Amy Yates","SAC","18-20-0",0.474
"6","2020","Amy Yates","Conference Carolinas","11-13-0",0.458
"7","2019","Amy Yates","Conference Carolinas","23-25-0",0.479
"8","2018","Amy Yates","Conference Carolinas","34-12-0",0.739
"9","2017","Amy Yates","Conference Carolinas","45-13-0",0.776
"10","2016","Amy Yates","Conference Carolinas","34-16-0",0.68
"11","2015","Amy Yates","Conference Carolinas","30-15-0",0.667
"12","2014","Amy Yates","Conference Carolinas","30-18-0",0.625
"13","2013","Amy Yates","Conference Carolinas","22-22-0",0.5
"14","2012","Jimmy Martin","Conference Carolinas","26-29-0",0.473
"15","2011","Jimmy Martin","Conference Carolinas","24-30-1",0.445
"16","2010","Jimmy Martin","Conference Carolinas","40-22-0",0.645
"17","2009","Jimmy Martin","Conference Carolinas","27-26-2",0.509
"18","2008","Jimmy Martin","Conference Carolinas","23-35-0",0.397
"19","2007","Jimmy Martin","Conference Carolinas","27-29-0",0.482
"20","2006","Jimmy Martin","Conference Carolinas","29-30-0",0.492
"21","2005","Jimmy Martin","Conference Carolinas","26-30-0",0.464
"22","2004","Jimmy Martin","Conference Carolinas","23-25-0",0.479
"23","2003","Jimmy Martin","-","29-23-0",0.558
"24","2002","Jimmy Martin","-","18-30-0",0.375
"25","2001","Jimmy Martin","-","22-32-0",0.407
"26","1900","Jimmy Martin","-","22-28-0",0.44
"27","1999","Jimmy Martin","-","35-20-0",0.636
"28","1998","Jimmy Martin","-","31-22-0",0.585
"29","1997","Jimmy Martin","-","34-19-0",0.642
"30","1996","Jimmy Martin","-","27-32-0",0.458
"31","1995","Jimmy Martin","-","11-41-0",0.212
"32","1994","Jimmy Martin","-","22-24-0",0.478
"33","1993","Jimmy Martin","-","31-18-0",0.633
"34","1992","Jimmy Martin","-","33-16-0",0.673
"35","1991","Jimmy Martin","-","26-28-0",0.481
"36","1990","Jimmy Martin","-","28-16-0",0.636
