"","season","head_coach","conference","record","win_perc"
"1","2025","Megan Bartlett","Big 12","1-0-0",1
"2","2024","Megan Bartlett","Pac-12","20-31-0",0.392
"3","2023","Megan Bartlett","Pac-12","22-26-0",0.458
"4","2022","Trisha Ford","Pac-12","43-11-0",0.796
"5","2021","Trisha Ford","Pac-12","33-16-0",0.673
"6","2020","Trisha Ford","Pac-12","22-7-0",0.759
"7","2019","Trisha Ford","Pac-12","35-20-0",0.636
"8","2018","Trisha Ford","Pac-12","48-13-0",0.787
"9","2017","Trisha Ford","Pac-12","31-22-0",0.585
"10","2016","Robert Wagner (32-26)Letty Olivarez (32-26)","Pac-12","32-26-0",0.552
"11","2015","Craig Nicholson","Pac-12","36-22-0",0.621
"12","2014","Craig Nicholson","Pac-12","47-13-1",0.779
"13","2013","Clint Myers","Pac-12","50-12-0",0.806
"14","2012","Clint Myers","Pac-12","54-9-1",0.852
"15","2011","Clint Myers","Pac-12","60-6-0",0.909
"16","2010","Clint Myers","Pac-12","44-17-0",0.721
"17","2009","Clint Myers","Pac-12","47-19-0",0.712
"18","2008","Clint Myers","Pac-12","66-5-0",0.93
"19","2007","Clint Myers","Pac-12","54-17-0",0.761
"20","2006","Clint Myers","Pac-12","53-15-0",0.779
"21","2005","Linda Wells","Pac-12","30-26-0",0.536
"22","2004","Linda Wells","Pac-12","33-31-0",0.516
"23","2003","Linda Wells","Pac-12","32-25-0",0.561
"24","2002","Linda Wells","Pac-12","46-20-0",0.697
"25","2001","Linda Wells","Pac-12","36-22-0",0.621
"26","1900","Linda Wells","Pac-12","43-20-0",0.683
"27","1999","Linda Wells","Pac-12","41-28-0",0.594
"28","1998","Linda Wells","-","38-27-0",0.585
"29","1997","Linda Wells","Pac-12","32-25-0",0.561
"30","1996","Linda Wells","-","34-27-0",0.557
"31","1995","Linda Wells","-","29-26-0",0.527
"32","1994","Linda Wells","-","22-41-0",0.349
"33","1993","Linda Wells","-","34-26-0",0.567
"34","1992","Linda Wells","-","27-21-0",0.563
"35","1991","Linda Wells","-","43-18-0",0.705
"36","1990","Linda Wells","-","43-32-0",0.573
"37","1989","","-","NA-NA-0",NA
"38","1988","","-","NA-NA-0",NA
"39","1987","","-","NA-NA-0",NA
"40","1986","","-","NA-NA-0",NA
"41","1985","","-","NA-NA-0",NA
"42","1984","","-","NA-NA-0",NA
"43","1983","","-","NA-NA-0",NA
"44","1982","","-","NA-NA-0",NA
