"","season","head_coach","conference","record","win_perc"
"1",2025,"Alexis Lynn","SCAC","13-21-0",0.382
"2",2024,"Alexis Lynn","SCAC","18-26-0",0.409
"3",2023,"Alexis Lynn","SCAC","21-22-0",0.488
"4",2022,"Emerald Doria","SCAC","14-27-0",0.341
"5",2021,"Emerald Doria","SCAC","13-18-0",0.419
"6",2020,"Emerald Doria","SCAC","14-5-0",0.737
"7",2019,"Angela Froboese","SCAC","35-6-0",0.854
"8",2018,"Angela Froboese","SCAC","23-17-0",0.575
"9",2017,"Angela Froboese","SCAC","27-13-0",0.675
"10",2016,"Angela Froboese","SCAC","18-24-0",0.429
"11",2015,"Angela Froboese","SCAC","18-21-0",0.462
"12",2014,"Angela Froboese","SCAC","18-20-1",0.474
"13",2013,"Angela Froboese","SCAC","34-13-0",0.723
"14",2012,"Angela Froboese","SCAC","26-18-0",0.591
"15",2011,"Angela Froboese","SCAC","29-15-0",0.659
"16",2010,"Angela Froboese","SCAC","33-13-0",0.717
"17",2009,"Angela Froboese","SCAC","19-16-0",0.543
