"","season","head_coach","conference","record","win_perc"
"1","2025","Anna Nagro","MAAC","0-0-0","  NaN"
"2","2024","Anna Nagro","MAAC","14-32-0","0.304"
"3","2023","Anna Nagro","MAAC","32-19-0","0.627"
"4","2022","Anna Nagro","NEC","26-22-0","0.542"
"5","2021","Anna Nagro","NEC","19-25-0","0.432"
"6","2020","Anna Nagro","NEC","2-17-0","0.105"
"7","2019","Anna Nagro","NEC","27-28-0","0.491"
"8","2018","Anna Nagro","NEC","17-26-1","0.395"
"9","2017","Anna Nagro","NEC","20-31-0","0.392"
"10","2016","Anna Nagro","NEC","15-35-0","0.300"
"11","2015","Anna Nagro","NEC","11-33-0","0.250"
"12","2014","Anna Nagro","NEC","20-24-2","0.455"
"13","2013","Anna Nagro","NEC","16-30-0","0.348"
"14","2012","Anna Nagro","NEC","17-34-0","0.333"
"15","2011","Anna Nagro","NEC","15-31-0","0.326"
"16","2010","Larry Alvis","NEC","25-25-0","0.500"
"17","2009","Larry Alvis","NEC","18-30-0","0.375"
"18","2008","Larry Alvis","NEC","21-36-0","0.368"
"19","2007","Shana Gary","NEC","11-29-0","0.275"
"20","2006","Shana Gary","NEC","31-25-0","0.554"
"21","2005","Shana Gary","NEC","12-29-0","0.293"
"22","2004","Tricia Fuit","NEC","12-30-0","0.286"
"23","2003","Tricia Fuit","NEC","14-24-1","0.368"
"24","2002","Tricia Fuit","NEC","8-31-0","0.205"
"25","2001","Tricia Fuit","NEC","4-32-0","0.111"
"26","2000","Tricia Fuit","NEC","15-25-0","0.375"
"27","1999","Tricia Fuit","NEC","19-20-0","0.487"
"28","1998","Tricia Fuit","-","7-33-0","0.175"
"29","1997","Tricia Fuit","NEC","8-32-0","0.200"
"30","1996","Jennifer Booth (0-15-1)Tricia Fuit (6-12)","-","6-27-0","0.182"
"31","1995","Regina Gebhart","-","7-39-1","0.152"
"32","1994","Regina Gebhart","-","5-30-0","0.143"
"33","1993","Regina Gebhart","-","5-22-0","0.185"
"34","1992","Regina Gebhart","-","4-28-0","0.125"
"35","1991","Regina Gebhart","-","1-29-0","0.033"
"36","1990","Regina Gebhart","-","7-15-0","0.318"
