"","season","head_coach","conference","record","win_perc"
"1",2025,"Christy Connoyer","Atlantic 10","29-19-0",0.604
"2",2024,"Christy Connoyer","Atlantic 10","31-22-0",0.585
"3",2023,"Christy Connoyer","Atlantic 10","30-25-0",0.545
"4",2022,"Christy Connoyer","Atlantic 10","22-29-0",0.431
"5",2021,"Christy Connoyer","Atlantic 10","19-27-0",0.413
"6",2020,"Christy Connoyer","Atlantic 10","8-13-0",0.381
"7",2019,"Christy Connoyer","Atlantic 10","19-34-0",0.358
"8",2018,"Christy Connoyer","Atlantic 10","28-29-0",0.491
"9",2017,"Christy Connoyer","Atlantic 10","25-25-0",0.5
"10",2016,"Christy Connoyer","Atlantic 10","25-27-0",0.481
"11",2015,"Christy Connoyer","Atlantic 10","36-18-0",0.667
"12",2014,"Christy Connoyer","Atlantic 10","30-21-0",0.588
"13",2013,"Christy Connoyer","Atlantic 10","28-23-0",0.549
"14",2012,"Christy Connoyer","Atlantic 10","23-33-0",0.411
"15",2011,"Christy Connoyer","Atlantic 10","29-24-0",0.547
"16",2010,"John Conway","Atlantic 10","30-26-1",0.536
"17",2009,"John Conway","Atlantic 10","22-33-0",0.4
"18",2008,"John Conway","Atlantic 10","23-33-1",0.411
"19",2007,"John Conway","Atlantic 10","29-33-0",0.468
"20",2006,"Jim Molloy","Atlantic 10","19-33-0",0.365
"21",2005,"Jim Molloy","CUSA","18-31-1",0.367
"22",2004,"Jim Molloy","CUSA","16-45-0",0.262
"23",2003,"Jim Molloy","CUSA","21-18-0",0.538
"24",2002,"Jim Molloy","CUSA","24-27-0",0.471
"25",2001,"Jim Molloy","CUSA","25-34-0",0.424
"26",2000,"Jim Molloy","-","9-43-0",0.173
"27",1999,"Jim Molloy","-","4-46-0",0.08
"28",1998,"Jim Molloy","-","4-46-1",0.08
"29",1997,"Jim Molloy","-","1-39-0",0.025
"30",1996,"Denise Swanger","-","6-45-0",0.118
"31",1995,"Denise Swanger","-","1-45-0",0.022
"32",1994,"Denise Swanger","-","2-38-0",0.05
"33",1993,"Denise Swanger","-","14-24-0",0.368
"34",1992,"Denise Swanger","-","4-30-0",0.118
"35",1991,"Kate Wiesmiller","-","12-35-0",0.255
"36",1990,"Kate Wiesmiller","-","11-17-1",0.393
