"","season","head_coach","conference","record","win_perc"
"1",2025,"Kelly Paterson","NE10","8-17-0",0.32
"2",2024,"Kelly Paterson","NE10","7-35-0",0.167
"3",2023,"Don Justus","NE10","17-30-0",0.362
"4",2022,"Don Justus","NE10","17-23-0",0.425
"5",2021,"Jen Starek","NE10","28-9-0",0.757
"6",2020,"Jen Starek","NE10","3-3-0",0.5
"7",2019,"Jen Starek","NE10","33-16-0",0.673
"8",2018,"Jen Starek","NE10","25-21-0",0.543
"9",2017,"Jen Starek","NE10","30-16-0",0.652
"10",2016,"Jen Starek","NE10","23-15-0",0.605
"11",2015,"Jen Starek","NE10","16-14-2",0.533
"12",2014,"Jen Starek","NE10","29-18-0",0.617
"13",2013,"Jen Starek","NE10","38-15-0",0.717
"14",2012,"Jen Starek","NE10","29-21-0",0.58
"15",2011,"Jen Starek","NE10","34-19-0",0.642
"16",2010,"Jen Starek","NE10","41-6-0",0.872
"17",2009,"Jen Starek","NE10","34-18-0",0.654
"18",2008,"Jen Starek","ECC","29-21-0",0.58
"19",2007,"Jen Starek","ECC","26-19-0",0.578
"20",2006,"Becky Snow","ECC","18-24-1",0.429
"21",2005,"Becky Snow","ECC","30-17-0",0.638
"22",2004,"Becky Snow","ECC","27-20-0",0.574
"23",2003,"Cristina Lukas","ECC","26-21-1",0.553
"24",2002,"Cristina Lukas","-","18-24-1",0.429
"25",2001,"Cristina Lukas","-","18-26-0",0.409
"26",2000,"Mandy Roczniak","-","5-31-1",0.139
"27",1999,"Mandy Roczniak","-","21-21-1",0.5
"28",1998,"Joe Musante","-","29-15-0",0.659
"29",1997,"Joe Musante","-","31-14-0",0.689
"30",1996,"Joe Musante","-","29-13-0",0.69
"31",1995,"Joe Musante","-","40-10-1",0.8
"32",1994,"Joe Musante","-","30-12-0",0.714
"33",1993,"Joe Musante","-","19-16-0",0.543
"34",1992,"Peter Zoppi","-","30-8-9",0.789
"35",1991,"Peter Zoppi","-","36-8-0",0.818
"36",1990,"Peter Zoppi","-","21-18-0",0.538
"37",1989,"Peter Zoppi","-","30-10-0",0.75
"38",1988,"Peter Zoppi","-","20-22-0",0.476
