"","season","head_coach","conference","record","win_perc"
"1",2025,"Larry Hineline","MEAC","5-18-0",0.217
"2",2024,"Larry Hineline","MEAC","35-20-0",0.636
"3",2023,"Larry Hineline","MEAC","25-21-0",0.543
"4",2022,"Larry Hineline","MEAC","30-15-0",0.667
"5",2021,"Larry Hineline","MEAC","24-17-0",0.585
"6",2020,"Larry Hineline","MEAC","5-10-0",0.333
"7",2019,"Larry Hineline","MEAC","23-25-0",0.479
"8",2018,"Larry Hineline","MEAC","28-17-0",0.622
"9",2017,"Larry Hineline","MEAC","23-23-0",0.5
"10",2016,"Larry Hineline","MEAC","4-28-0",0.125
"11",2015,"Larry Hineline","MEAC","8-30-0",0.211
"12",2014,"Jeff Bozier","MEAC","0-21-0",0
"13",2013,"Jeff Bozier","MEAC","0-35-0",0
"14",2012,"Jeff Bozier","MEAC","12-23-0",0.343
"15",2011,"Jeff Bozier","MEAC","16-27-0",0.372
"16",2010,"Jeff Bozier","MEAC","7-26-0",0.212
"17",2009,"Jeff Bozier","MEAC","15-13-0",0.536
"18",2008,"Jeff Bozier","MEAC","15-21-0",0.417
"19",2007,"Jeff Bozier","MEAC","15-24-0",0.385
"20",2006,"Jeff Bozier","MEAC","10-29-0",0.256
"21",2005,"Jeff Bozier","MEAC","7-30-0",0.189
"22",2004,"Jeff Bozier","MEAC","16-27-0",0.372
"23",2003,"Ramona Riley-Bozier","MEAC","16-25-0",0.39
"24",2002,"Ramona Riley-Bozier","MEAC","17-30-0",0.362
"25",2001,"Ramona Riley-Bozier","MEAC","26-28-0",0.481
"26",2000,"Ramona Riley-Bozier","MEAC","13-25-0",0.342
"27",1999,"Ramona Riley-Bozier","MEAC","19-19-0",0.5
"28",1998,"Ramona Riley-Bozier","-","25-9-0",0.735
"29",1997,"Ramona Riley-Bozier","MEAC","20-19-0",0.513
"30",1996,"Ramona Riley-Bozier","-","15-17-0",0.469
"31",1995,"Ramona Riley-Bozier","-","10-22-0",0.312
"32",1994,"Wanda Richardson","-","8-21-0",0.276
