"","season","head_coach","conference","record","win_perc"
"1",2025,"Kallee Wilkins","MIAC","4-12-0",0.25
"2",2024,"Kallee Wilkins","MIAC","8-28-0",0.222
"3",2023,"Rilee Dawson","MIAC","17-18-0",0.486
"4",2022,"Rilee Dawson","MIAC","15-21-0",0.417
"5",2021,"Rilee Dawson","UMAC","32-8-0",0.8
"6",2020,"Rilee Dawson","UMAC","7-7-0",0.5
"7",2019,"Rilee Dawson","UMAC","23-16-0",0.59
"8",2018,"Rilee Dawson","UMAC","22-13-0",0.629
"9",2017,"Rilee Dawson","UMAC","24-17-0",0.585
"10",2016,"Rilee Dawson","UMAC","26-15-0",0.634
"11",2015,"Jennifer Walter","UMAC","31-16-0",0.66
"12",2014,"Jennifer Walter","UMAC","27-12-0",0.692
"13",2013,"Jennifer Walter","UMAC","24-14-0",0.632
"14",2012,"Jennifer Walter","UMAC","32-12-0",0.727
"15",2011,"Jennifer Walter","UMAC","29-15-0",0.659
"16",2010,"Jennifer Walter","UMAC","29-13-0",0.69
"17",2009,"Jennifer Walter","UMAC","31-12-0",0.721
"18",2008,"Jennifer Walter","-","19-21-0",0.475
"19",2007,"Jennifer Walter","-","25-16-0",0.61
"20",2006,"Jennifer Walter","-","37-9-0",0.804
"21",2005,"Jennifer Walter","-","34-7-0",0.829
"22",2004,"Jennifer Walter","-","40-8-0",0.833
"23",2003,"Jennifer Walter","-","30-14-0",0.682
"24",2002,"Jennifer Walter","-","18-22-0",0.45
"25",2001,"Jennifer Walter","-","21-23-0",0.477
"26",2000,"Jennifer Walter","-","20-19-0",0.513
"27",1999,"Shawna Davidson","-","18-27-0",0.4
"28",1998,"Shawna Davidson","-","24-25-0",0.49
"29",1997,"Dina Kangas","-","25-24-0",0.51
"30",1996,"Dina Kangas","-","7-20-0",0.259
"31",1995,"Tricia Lasky","-","8-24-0",0.25
"32",1994,"Tricia Lasky","-","14-17-0",0.452
"33",1993,"Tricia Lasky","-","3-14-0",0.176
"34",1992,"Tricia Lasky","-","10-14-0",0.417
"35",1991,"Bill Ross","-","15-11-0",0.577
"36",1990,"Bill Ross","-","17-16-0",0.515
"37",1989,"Bill Ross","-","15-13-0",0.536
"38",1988,"Bill Ross","-","19-14-0",0.576
"39",1987,"Bill Ross","-","12-14-0",0.462
"40",1986,"Bill Ross","-","13-8-0",0.619
"41",1985,"Bill Ross","-","11-7-0",0.611
"42",1984,"Bill Ross","-","9-12-0",0.429
