"","season","head_coach","conference","record","win_perc"
"1",2025,"Patrick Peasant","SIAC","0-3-0",0
"2",2024,"Patrick Peasant","SIAC","12-30-0",0.286
"3",2023,"Patrick Peasant","SIAC","19-21-0",0.475
"4",2022,"Patrick Peasant","SIAC","14-25-1",0.359
"5",2021,"Patrick Peasant","SIAC","0-17-0",0
"6",2020,"Patrick Peasant","SIAC","4-11-0",0.267
"7",2019,"Patrick Peasant","SIAC","7-39-0",0.152
"8",2018,"Patrick Peasant","SIAC","11-33-0",0.25
"9",2017,"Patrick Peasant","SIAC","18-28-0",0.391
"10",2016,"Patrick Peasant","SIAC","20-34-0",0.37
"11",2015,"Patrick Peasant","SIAC","10-26-0",0.278
"12",2014,"Patrick Peasant","SIAC","13-32-0",0.289
"13",2013,"Patrick Peasant","SIAC","28-20-0",0.583
"14",2012,"Patrick Peasant","SIAC","29-28-0",0.509
"15",2011,"Patrick Peasant","SIAC","23-17-0",0.575
"16",2010,"Patrick Peasant","SIAC","21-27-0",0.438
"17",2008,"Patrick Peasant","SIAC","30-12-1",0.714
"18",2007,"Patrick Peasant","SIAC","0-17-0",0
"19",2006,"Patrick Peasant","SIAC","0-16-0",0
"20",2005,"Patrick Peasant","SIAC","0-15-0",0
"21",2004,"Patrick Peasant","SIAC","0-10-0",0
