"","season","head_coach","conference","record","win_perc"
"1",2025,"Kevin Valentine","North Atlantic","6-15-0",0.286
"2",2024,"Kevin Valentine","North Atlantic","8-19-0",0.296
"3",2023,"Kevin Valentine","North Atlantic","10-19-0",0.345
"4",2022,"Kevin Valentine","North Atlantic","17-13-0",0.567
"5",2021,"Kevin Valentine","North Atlantic","3-16-0",0.158
"6",2020,"Kevin Valentine","North Atlantic","0-6-0",0
"7",2019,"Amanda McLean","North Atlantic","4-22-0",0.154
"8",2018,"Amanda McLean","North Atlantic","1-23-0",0.042
"9",2017,"Sean Lynch","North Atlantic","0-22-0",0
"10",2016,"Greer Lemnah","North Atlantic","0-26-0",0
"11",2015,"Bill Johnson","North Atlantic","0-20-0",0
"12",2014,"Bill Johnson","North Atlantic","2-21-0",0.087
"13",2013,"Bill Johnson","North Atlantic","11-23-0",0.324
"14",2012,"Jennifer Layn","North Atlantic","11-24-0",0.314
"15",2011,"Jennifer Layn","North Atlantic","8-17-0",0.32
"16",2010,"Jennifer Layn","North Atlantic","3-21-0",0.125
"17",2009,"Jennifer Layn","North Atlantic","8-19-0",0.296
