"","season","head_coach","conference","record","win_perc"
"1",2025,"Frank Marinello","CUNYAC","8-13-0",0.381
"2",2024,"Frank Marinello","CUNYAC","11-17-0",0.393
"3",2023,"Glenn Moore","CUNYAC","12-17-0",0.414
"4",2022,"Glenn Moore","CUNYAC","6-21-0",0.222
"5",2021,"Glenn Moore","CUNYAC","0-0-0",NA
"6",2019,"Glenn Moore","CUNYAC","3-23-0",0.115
"7",2018,"Antoinette Brown","CUNYAC","5-19-0",0.208
"8",2017,"Antoinette Brown","CUNYAC","4-25-0",0.138
"9",2016,"Antoinette Brown","CUNYAC","5-23-0",0.179
"10",2015,"Michael Ponsiglione","CUNYAC","21-20-0",0.512
"11",2014,"Michael Ponsiglione","CUNYAC","25-15-0",0.625
"12",2013,"Bill Dumont","CUNYAC","23-19-0",0.548
"13",2012,"Bill Dumont","CUNYAC","19-20-0",0.487
"14",2011,"Bill Dumont","CUNYAC","14-18-1",0.438
"15",2010,"Bill Dumont","CUNYAC","16-17-1",0.485
"16",2009,"Peter Grillo","CUNYAC","4-21-0",0.16
"17",2008,"Peter Grillo","CUNYAC","11-14-0",0.44
"18",2007,"Joanne Riggs","CUNYAC","7-11-0",0.389
"19",2006,"Joanne Riggs","CUNYAC","15-12-0",0.556
"20",2005,"Jaclyn Apicello","CUNYAC","3-13-0",0.188
"21",2004,"Jaclyn Apicello","CUNYAC","6-17-0",0.261
"22",2003,"Paul Watson","CUNYAC","10-16-0",0.385
"23",2002,"Paul Watson","CUNYAC","6-14-0",0.3
"24",2001,"Maureen Tracy","-","11-9-0",0.55
"25",2000,"Maureen Tracy","-","5-12-0",0.294
"26",1999,"John Caccamo","-","2-14-0",0.125
"27",1992,"Bruce Filosa","-","5-26-0",0.161
"28",1991,"Bruce Filosa","-","5-20-0",0.2
"29",1990,"Artie LaGreca","-","13-15-0",0.464
