"","season","head_coach","conference","record","win_perc"
"1",2025,"Bob Baginski","CACC","0-2-0",0
"2",2024,"Bob Baginski","CACC","13-20-0",0.394
"3",2023,"Mike Fegeley","CACC","16-22-0",0.421
"4",2022,"Mike Fegeley","CACC","12-24-0",0.333
"5",2021,"Mike Fegeley","CACC","17-10-0",0.63
"6",2020,"Mike Fegeley","CACC","0-4-0",0
"7",2019,"Mike Fegeley","CACC","20-27-0",0.426
"8",2018,"Mike Fegeley","CACC","17-23-0",0.425
"9",2017,"Larry Cooper","CACC","25-28-0",0.472
"10",2016,"Larry Cooper","CACC","14-31-0",0.311
"11",2015,"Larry Cooper","CACC","19-25-0",0.432
"12",2014,"Joseph Long","CACC","25-16-0",0.61
"13",2013,"Joseph Long","CACC","19-31-0",0.38
"14",2012,"Joseph Long","CACC","13-30-0",0.302
"15",2011,"John Kelly","CACC","18-21-0",0.462
"16",2010,"John Kelly","CACC","26-20-0",0.565
"17",2009,"John Kelly","CACC","25-21-0",0.543
"18",2008,"John Kelly","CACC","14-30-0",0.318
"19",2007,"John Kelly","CACC","10-30-0",0.25
"20",2006,"John Kelly","CACC","8-32-0",0.2
"21",2005,"Frank Fiorino","ECC","17-26-0",0.395
"22",2004,"Frank Fiorino","ECC","4-6-0",0.4
"23",2003,"Frank Fiorino","ECC","11-24-0",0.314
"24",2002,"Frank Fiorino","ECC","14-30-0",0.318
"25",2001,"Frank Fiorino","-","13-29-0",0.31
"26",2000,"Frank Fiorino","-","15-22-0",0.405
"27",1999,"Frank Fiorino","-","22-19-1",0.537
"28",1998,"Frank Fiorino","-","12-17-0",0.414
"29",1997,"Frank Fiorino","-","14-19-0",0.424
"30",1996,"Frank Fiorino","-","11-22-0",0.333
"31",1995,"Frank Fiorino","-","16-19-0",0.457
"32",1994,"Frank Fiorino","-","11-19-0",0.367
"33",1993,"Frank Fiorino","-","6-21-0",0.222
"34",1992,"Chris Turner","-","6-24-0",0.2
"35",1991,"Chris Turner","-","11-14-0",0.44
"36",1990,"Chris Turner","-","6-11-0",0.353
