"","season","head_coach","conference","record","win_perc"
"1",2025,"Nicole Bellini","UAA","4-7-0",0.364
"2",2024,"Now-Allah James","UAA","8-28-0",0.222
"3",2023,"Now-Allah James","UAA","19-19-0",0.5
"4",2022,"Now-Allah James","UAA","18-21-0",0.462
"5",2021,"Now-Allah James","UAA","0-0-0",NA
"6",2020,"Now-Allah James","UAA","3-5-0",0.375
"7",2019,"Now-Allah James","UAA","20-13-0",0.606
"8",2018,"Now-Allah James","UAA","21-20-0",0.512
"9",2017,"Now-Allah James","UAA","19-19-0",0.5
"10",2016,"Now-Allah James","UAA","26-15-0",0.634
"11",2015,"Now-Allah James","UAA","12-24-0",0.333
