"","season","head_coach","conference","record","win_perc"
"1",2025,"Allie Taylor","NACC","3-9-0",0.25
"2",2024,"Allie Taylor","NACC","20-21-0",0.488
"3",2023,"Allie Taylor","NACC","20-19-0",0.513
"4",2022,"Allie Taylor","NACC","20-20-0",0.5
"5",2021,"Allie Taylor","NACC","9-31-0",0.225
"6",2020,"Allie Taylor","NACC","1-5-0",0.167
"7",2019,"J.P. Richards","NACC","8-26-0",0.235
"8",2018,"J.P. Richards","NACC","15-21-0",0.417
"9",2017,"J.P. Richards","NACC","4-34-0",0.105
"10",2016,"J.P. Richards","NACC","14-26-0",0.35
"11",2015,"J.P. Richards","NACC","18-25-0",0.419
"12",2014,"J.P. Richards","NACC","18-19-0",0.486
"13",2013,"J.P. Richards","NACC","12-28-0",0.3
"14",2012,"J.P. Richards","NACC","14-24-0",0.368
"15",2011,"J.P. Richards","NACC","14-24-0",0.368
"16",2010,"J.P. Richards","NACC","15-21-0",0.417
"17",2009,"J.P. Richards","NACC","19-18-0",0.514
"18",2008,"J.P. Richards","NACC","21-16-0",0.568
"19",2007,"J.P. Richards","NACC","24-18-0",0.571
"20",2006,"J.P. Richards","NACC","30-13-0",0.698
"21",2005,"J.P. Richards","Lake Michigan","30-16-0",0.652
"22",2004,"J.P. Richards","Lake Michigan","25-18-0",0.581
"23",2003,"J.P. Richards","Lake Michigan","9-21-0",0.3
"24",2002,"Jana Fields","Lake Michigan","15-20-0",0.429
"25",2001,"Christine Bouffard","-","18-23-0",0.439
"26",2000,"Sue Gerenstein","-","16-27-0",0.372
"27",1999,"Sue Gerenstein","-","14-20-1",0.412
"28",1998,"Sue Gerenstein","-","22-15-0",0.595
"29",1997,"Kelly Witte","-","13-18-0",0.419
"30",1996,"Kelly Witte","-","23-15-0",0.605
"31",1995,"Kelly Witte","-","28-11-0",0.718
