"","season","head_coach","conference","record","win_perc"
"1",2025,"Cindy Ball-Malone","Big 12","21-16-1",0.568
"2",2024,"Cindy Ball-Malone","Big 12","31-25-0",0.554
"3",2023,"Cindy Ball-Malone","The American","40-21-0",0.656
"4",2022,"Cindy Ball-Malone","The American","49-14-0",0.778
"5",2021,"Cindy Ball-Malone","The American","41-19-1",0.683
"6",2020,"Cindy Ball-Malone","The American","21-5-1",0.808
"7",2019,"Cindy Ball-Malone","The American","34-21-0",0.618
"8",2018,"Renee Gillispie","The American","34-22-0",0.607
"9",2017,"Renee Gillispie","The American","29-23-0",0.558
"10",2016,"Renee Gillispie","The American","38-22-0",0.633
"11",2015,"Renee Gillispie","The American","50-9-0",0.847
"12",2014,"Renee Gillispie","The American","43-18-0",0.705
"13",2013,"Renee Gillispie","CUSA","29-25-0",0.537
"14",2012,"Renee Gillispie","CUSA","39-19-0",0.672
"15",2011,"Renee Gillispie","CUSA","22-32-0",0.407
"16",2010,"Renee Gillispie","CUSA","36-23-0",0.61
"17",2009,"Renee Gillispie","CUSA","27-27-0",0.5
"18",2008,"Renee Gillispie","CUSA","49-20-0",0.71
"19",2007,"Renee Gillispie","CUSA","38-26-0",0.594
"20",2006,"Renee Gillispie","CUSA","19-37-0",0.339
"21",2005,"Renee Gillispie","ASUN","47-29-1",0.618
"22",2004,"Renee Gillispie","ASUN","42-21-0",0.667
"23",2003,"Renee Gillispie","ASUN","37-31-0",0.544
"24",2002,"Renee Gillispie","ASUN","46-19-0",0.708
