"","season","head_coach","conference","record","win_perc"
"1",2025,"Megan Pleskovic","ODAC","12-8-0",0.6
"2",2024,"Megan Pleskovic","ODAC","19-24-0",0.442
"3",2023,"Megan Pleskovic","ODAC","20-22-0",0.476
"4",2022,"Megan Pleskovic","ODAC","24-19-0",0.558
"5",2021,"Megan Pleskovic","ODAC","11-15-0",0.423
"6",2020,"Megan Pleskovic","ODAC","13-3-0",0.812
"7",2019,"Lis Fee","ODAC","23-17-0",0.575
"8",2018,"Lis Fee","ODAC","15-23-0",0.395
"9",2017,"Lis Fee","ODAC","10-28-0",0.263
"10",2016,"Lis Fee","ODAC","9-29-0",0.237
"11",2015,"Donnie Fulk","ODAC","11-27-0",0.289
"12",2014,"Donnie Fulk","ODAC","20-19-1",0.513
"13",2013,"Donnie Fulk","ODAC","24-18-0",0.571
"14",2012,"Donnie Fulk","ODAC","33-12-0",0.733
"15",2011,"Donnie Fulk","ODAC","31-11-0",0.738
"16",2010,"Donnie Fulk","ODAC","33-10-0",0.767
"17",2009,"Donnie Fulk","ODAC","36-11-0",0.766
"18",2008,"Donnie Fulk","ODAC","25-15-0",0.625
"19",2007,"Donnie Fulk","ODAC","40-8-0",0.833
"20",2006,"Donnie Fulk","ODAC","34-9-0",0.791
"21",2005,"Donnie Fulk","ODAC","24-18-0",0.571
"22",2004,"Donnie Fulk","ODAC","26-17-0",0.605
"23",2003,"Donnie Fulk","ODAC","24-15-0",0.615
"24",2002,"Donnie Fulk","-","25-19-0",0.568
"25",2001,"Donnie Fulk","-","29-12-0",0.707
"26",2000,"Donnie Fulk","-","32-10-0",0.762
"27",1999,"Donnie Fulk","-","29-18-0",0.617
"28",1998,"Donnie Fulk","-","23-17-0",0.575
"29",1997,"Donnie Fulk","-","19-13-0",0.594
"30",1996,"Donnie Fulk","-","26-10-0",0.722
"31",1995,"Donnie Fulk","-","18-18-0",0.5
"32",1994,"Donnie Fulk","-","24-9-0",0.727
"33",1993,"Donnie Fulk","-","11-12-0",0.478
"34",1992,"Donnie Fulk","-","12-17-0",0.414
"35",1991,"Kyle Gillenwater","-","9-19-0",0.321
"36",1990,"Kyle Gillenwater","-","18-9-0",0.667
