"","season","head_coach","conference","record","win_perc"
"1",2025,"Kathryn Grant","Peach Belt","5-1-0",0.833
"2",2024,"Kathryn Grant","Peach Belt","35-24-0",0.593
"3",2023,"Kathryn Grant","Peach Belt","18-33-0",0.353
"4",2022,"Kathryn Grant","Peach Belt","25-27-0",0.481
"5",2021,"Kathryn Grant","Peach Belt","16-20-0",0.444
"6",2020,"Kathryn Grant","Peach Belt","18-8-0",0.692
"7",2019,"Kathryn Grant","Peach Belt","31-23-0",0.574
"8",2018,"Kathryn Grant","Peach Belt","26-27-0",0.491
"9",2017,"Kristen Overton","Peach Belt","37-19-0",0.661
"10",2016,"Kristen Overton","Peach Belt","24-25-0",0.49
"11",2015,"Kristen Overton","Peach Belt","15-34-0",0.306
"12",2014,"Kristen Overton","Peach Belt","28-26-0",0.519
"13",2013,"Kristen Overton","Peach Belt","32-17-0",0.653
"14",2012,"Kristen Overton","Peach Belt","39-20-0",0.661
"15",2011,"Kristen Overton","Peach Belt","42-18-0",0.7
"16",2010,"Kristen Overton","Peach Belt","28-24-0",0.538
"17",2009,"Kristen Overton","-","18-31-0",0.367
