"","season","head_coach","conference","record","win_perc"
"1",2025,"Ken Eriksen","The American","13-4-0",0.765
"2",2024,"Ken Eriksen","The American","34-22-0",0.607
"3",2023,"Ken Eriksen","The American","32-24-0",0.571
"4",2022,"Ken Eriksen","The American","45-16-0",0.738
"5",2021,"Ken Eriksen","The American","31-19-0",0.62
"6",2020,"Jessica Moore","The American","16-9-0",0.64
"7",2019,"Ken Eriksen","The American","41-19-0",0.683
"8",2018,"Ken Eriksen","The American","39-23-0",0.629
"9",2017,"Ken Eriksen","The American","32-24-0",0.571
"10",2016,"Ken Eriksen","The American","45-16-0",0.738
"11",2015,"Ken Eriksen","The American","36-20-0",0.643
"12",2014,"Ken Eriksen","The American","43-17-0",0.717
"13",2013,"Ken Eriksen","The American","45-16-0",0.738
"14",2012,"Ken Eriksen","The American","50-14-0",0.781
"15",2011,"Ken Eriksen","The American","33-21-0",0.611
"16",2010,"Ken Eriksen","The American","24-29-0",0.453
"17",2009,"Ken Eriksen","The American","34-22-0",0.607
"18",2008,"Ken Eriksen","The American","44-20-0",0.688
"19",2007,"Ken Eriksen","The American","44-22-0",0.667
"20",2006,"Ken Eriksen","The American","50-25-0",0.667
"21",2005,"Ken Eriksen","CUSA","42-28-0",0.6
"22",2004,"Ken Eriksen","CUSA","60-14-0",0.811
"23",2003,"Ken Eriksen","CUSA","54-19-0",0.74
"24",2002,"Ken Eriksen","CUSA","24-33-1",0.421
"25",2001,"Ken Eriksen","CUSA","43-34-0",0.558
"26",2000,"Ken Eriksen","ACC","41-33-0",0.554
"27",1999,"Ken Eriksen","ACC","44-26-0",0.629
"28",1998,"Ken Eriksen","-","57-14-0",0.803
"29",1997,"Ken Eriksen","ACC","50-13-0",0.794
"30",1996,"Hildred Deese","-","41-12-0",0.774
"31",1995,"Hildred Deese","-","29-20-0",0.592
"32",1994,"Hildred Deese","-","30-21-0",0.588
"33",1993,"Hildred Deese","-","28-18-0",0.609
"34",1992,"Hildred Deese","-","34-17-0",0.667
"35",1991,"Hildred Deese","-","35-18-0",0.66
"36",1990,"Hildred Deese","-","27-18-0",0.6
"37",1989,"Hildred Deese","-","22-26-0",0.458
"38",1988,"Hildred Deese","-","26-26-0",0.5
"39",1987,"Hildred Deese","-","32-19-0",0.627
"40",1986,"Hildred Deese","-","39-11-0",0.78
"41",1985,"Hildred Deese","-","42-16-0",0.724
