"","team_name","team_id","season","head_coach","division","conference","wins","losses","ties","win_perc"
"1","N.C. Wesleyan","491","2025","John Brackett","D-III","USA South",0,0,0,0
"2","N.C. Wesleyan","491","2024","John Brackett","D-III","USA South",22,19,0,0.537
"3","N.C. Wesleyan","491","2023","John Brackett","D-III","USA South",27,15,0,0.643
"4","N.C. Wesleyan","491","2022","John Brackett","D-III","USA South",19,18,0,0.514
"5","N.C. Wesleyan","491","2021","John Brackett","D-III","USA South",20,17,0,0.541
"6","N.C. Wesleyan","491","2020","John Brackett","D-III","USA South",6,8,0,0.429
"7","N.C. Wesleyan","491","2019","John Brackett","D-III","USA South",20,13,0,0.606
"8","N.C. Wesleyan","491","2018","John Brackett","D-III","USA South",21,15,NA,0.583
"9","N.C. Wesleyan","491","2017","John Brackett","D-III","USA South",18,20,0,0.474
"10","N.C. Wesleyan","491","2016","John Brackett","D-III","USA South",20,15,0,0.571
"11","N.C. Wesleyan","491","2015","John Brackett","D-III","USA South",17,17,0,0.5
"12","N.C. Wesleyan","491","2014","John Brackett","D-III","USA South",18,19,0,0.486
"13","N.C. Wesleyan","491","2013","John Brackett","D-III","USA South",15,20,0,0.429
"14","N.C. Wesleyan","491","2012","John Brackett","D-III","USA South",17,20,0,0.459
"15","N.C. Wesleyan","491","2011","John Brackett","D-III","USA South",7,27,0,0.206
"16","N.C. Wesleyan","491","2010","John Brackett","D-III","USA South",12,22,0,0.353
"17","N.C. Wesleyan","491","2009","John Brackett","D-III","USA South",13,27,0,0.325
"18","N.C. Wesleyan","491","2008","John Brackett","D-III","USA South",18,19,0,0.486
"19","N.C. Wesleyan","491","2007","John Brackett","D-III","USA South",22,13,0,0.629
"20","N.C. Wesleyan","491","2006","John Brackett","D-III","USA South",20,18,0,0.526
"21","N.C. Wesleyan","491","2005","John Brackett","D-III","USA South",19,16,0,0.543
"22","N.C. Wesleyan","491","2004","John Brackett","D-III","USA South",12,26,0,0.316
"23","N.C. Wesleyan","491","2003","John Brackett","D-III","USA South",10,27,0,0.27
"24","N.C. Wesleyan","491","2002","John Brackett","D-III","USA South",19,20,0,0.487
"25","N.C. Wesleyan","491","2001","John Brackett","D-III","-",28,17,NA,0.622
"26","N.C. Wesleyan","491","1900","John Brackett","D-III","-",24,16,NA,0.6
"27","N.C. Wesleyan","491","1999","John Brackett","D-III","-",28,15,NA,0.651
"28","N.C. Wesleyan","491","1998","John Brackett","D-III","-",31,13,NA,0.705
"29","N.C. Wesleyan","491","1997","John Brackett","D-III","-",28,16,NA,0.636
"30","N.C. Wesleyan","491","1996","John Brackett","D-III","-",18,16,NA,0.529
"31","N.C. Wesleyan","491","1995","John Brackett","D-III","-",21,21,NA,0.5
"32","N.C. Wesleyan","491","1994","John Brackett","D-III","-",17,19,NA,0.472
"33","N.C. Wesleyan","491","1993","John Brackett","D-III","-",19,17,NA,0.528
"34","N.C. Wesleyan","491","1992","John Brackett","D-III","-",18,9,NA,0.667
"35","N.C. Wesleyan","491","1991","","D-III","-",NA,NA,NA,NA
"36","N.C. Wesleyan","491","1990","","D-III","-",NA,NA,NA,NA
"37","N.C. Wesleyan","491","1988","","D-III","-",NA,NA,NA,NA
"38","N.C. Wesleyan","491","1986","","D-III","-",NA,NA,NA,NA
"39","N.C. Wesleyan","491","1983","","","-",NA,NA,NA,NA
"40","N.C. Wesleyan","491","","","","",624,590,0,0.514
