"","season","head_coach","conference","record","win_perc"
"1",2025,"Tony Holloway","HCAC","10-18-0",0.357
"2",2024,"Tony Holloway","HCAC","9-27-0",0.25
"3",2023,"Tony Holloway","HCAC","9-28-0",0.243
"4",2022,"Tony Holloway","HCAC","7-27-0",0.206
"5",2021,"Tony Holloway","HCAC","14-21-0",0.4
"6",2020,"Tony Holloway","HCAC","1-0-0",1
"7",2019,"Tony Holloway","HCAC","20-16-0",0.556
"8",2018,"Tony Holloway","HCAC","10-26-0",0.278
"9",2017,"Tony Holloway","HCAC","21-21-0",0.5
"10",2016,"Tony Holloway","HCAC","26-14-0",0.65
"11",2015,"Tony Holloway","HCAC","31-11-0",0.738
"12",2014,"Tony Holloway","HCAC","30-9-0",0.769
"13",2013,"Tony Holloway","HCAC","31-18-0",0.633
"14",2012,"Tony Holloway","HCAC","32-12-0",0.727
"15",2011,"Tony Holloway","HCAC","29-15-0",0.659
"16",2010,"Tony Holloway","HCAC","18-22-0",0.45
"17",2009,"Tony Holloway","HCAC","23-17-0",0.575
"18",2008,"Tony Holloway","HCAC","16-22-0",0.421
"19",2007,"Larry Holloway","HCAC","26-14-0",0.65
"20",2006,"Larry Holloway","HCAC","25-14-0",0.641
"21",2005,"Larry Holloway","HCAC","14-22-0",0.389
"22",2004,"Larry Holloway","HCAC","12-24-0",0.333
"23",2003,"Larry Holloway","HCAC","15-28-0",0.349
"24",2002,"Larry Holloway","HCAC","15-25-0",0.375
"25",2001,"Larry Holloway","-","18-22-0",0.45
"26",2000,"Larry Holloway","-","30-21-0",0.588
"27",1999,"Larry Holloway","-","35-10-0",0.778
"28",1998,"Larry Holloway","-","25-15-0",0.625
"29",1997,"Larry Holloway","-","22-16-0",0.579
"30",1996,"Larry Holloway","-","16-19-0",0.457
"31",1995,"Larry Holloway","-","8-36-0",0.182
"32",1994,"Larry Holloway","-","18-19-0",0.486
"33",1993,"Larry Holloway","-","16-19-0",0.457
"34",1992,"Larry Holloway","-","14-24-0",0.368
"35",1991,"Larry Holloway","-","16-25-0",0.39
"36",1990,"Larry Holloway","-","15-27-0",0.357
"37",1989,"Larry Holloway","-","21-23-0",0.477
"38",1988,"Larry Holloway","-","24-24-0",0.5
"39",1987,"Larry Holloway","-","14-27-0",0.341
"40",1986,"Larry Holloway","-","12-20-0",0.375
"41",1985,"Larry Holloway","-","15-16-0",0.484
"42",1984,"Larry Holloway","-","5-13-0",0.278
