"","season","head_coach","conference","record","win_perc"
"1","2024","Bill Higley","United East","18-17-1","0.514"
"2","2023","Bill Higley","CSAC","12-20-0","0.375"
"3","2022","Wes Uffelman","CSAC","4-25-0","0.138"
"4","2021","Wes Uffelman","CSAC","5-20-0","0.200"
"5","2020","Wes Uffelman","CSAC","0-8-0","0.000"
"6","2019","Bill Higley","CSAC","8-27-0","0.229"
"7","2018","Bill Higley","CSAC","3-33-0","0.083"
"8","2017","Bill Higley","CSAC","11-23-0","0.324"
"9","2016","Bill Higley","CSAC","12-28-0","0.300"
"10","2015","Bill Higley","CSAC","5-27-0","0.156"
"11","2014","Bill Higley","CSAC","7-28-0","0.200"
"12","2013","Bill Higley","CSAC","6-24-0","0.200"
"13","2012","Bill Higley","CSAC","21-20-0","0.512"
"14","2011","Bill Higley","CSAC","22-11-0","0.667"
"15","2010","Bill Higley","CSAC","16-21-0","0.432"
"16","2009","Bill Higley","CSAC","15-23-0","0.395"
"17","2008","Bill Higley","United East","14-23-0","0.378"
"18","2007","Bill Higley","United East","22-20-0","0.524"
"19","2006","Bill Higley","United East","23-18-0","0.561"
"20","2005","Bill Higley","United East","22-14-0","0.611"
"21","2004","Bill Higley","-","14-13-0","0.519"
"22","2003","Bill Higley","-","18-39-0","0.316"
