"","season","head_coach","conference","record","win_perc"
"1","2025","Orlando Salinas","Lone Star","3-4-0",0.429
"2","2024","Orlando Salinas","Lone Star","30-22-0",0.577
"3","2023","Doug Eastman (2-4)Orlando Salinas (24-26)","Lone Star","24-26-0",0.48
"4","2022","Craig Nicholson","Lone Star","50-12-0",0.806
"5","2021","Craig Nicholson","Lone Star","26-15-0",0.634
"6","2020","Craig Nicholson","Lone Star","17-9-0",0.654
"7","2019","Craig Nicholson","Lone Star","52-10-0",0.839
"8","2018","Craig Nicholson","Lone Star","29-26-0",0.527
"9","2017","Betsy Dean","Lone Star","27-24-0",0.529
"10","2016","Betsy Dean","Lone Star","22-33-0",0.4
"11","2015","Betsy Dean","Lone Star","17-27-1",0.389
"12","2014","Ricki Rothbauer-Stubbs","Lone Star","14-42-0",0.25
"13","2013","Ricki Rothbauer-Stubbs","Lone Star","13-38-0",0.255
"14","2012","Ricki Rothbauer-Stubbs","Lone Star","17-33-0",0.34
"15","2011","Ricki Rothbauer-Stubbs","Lone Star","24-31-0",0.436
"16","2010","Blake Miller","Lone Star","22-23-0",0.489
"17","2009","Blake Miller","Lone Star","32-22-0",0.593
"18","2008","Blake Miller","Lone Star","22-34-0",0.393
"19","2007","Jake Schumann","Lone Star","34-22-0",0.607
"20","2006","Jake Schumann","Lone Star","25-26-1",0.49
"21","2005","Jake Schumann","Lone Star","30-26-0",0.536
"22","2004","Jake Schumann","Lone Star","31-24-0",0.564
"23","2003","Ron Faubion","Lone Star","35-12-0",0.745
"24","2002","Brady Tigert","-","46-18-0",0.719
"25","2001","Brady Tigert","-","32-18-0",0.64
"26","1900","Brady Tigert","-","32-18-0",0.64
"27","1999","Julie Garcia","-","38-17-0",0.691
"28","1998","Julie Garcia","-","16-24-0",0.4
"29","1997","Julie Garcia","-","24-24-0",0.5
