"","season","head_coach","conference","record","win_perc"
"1",2025,"Jamie Stefani","MAC Freedom","7-2-0",0.778
"2",2024,"Jamie Stefani","MAC Freedom","18-18-0",0.5
"3",2023,"Jamie Stefani","MAC Freedom","8-28-1",0.222
"4",2022,"Jamie Stefani","MAC Freedom","11-28-0",0.282
"5",2021,"Jamie Stefani","MAC Freedom","3-22-0",0.12
"6",2020,"Jamie Stefani","MAC Freedom","1-9-0",0.1
"7",2019,"Kaitlyn Cooper","MAC Freedom","11-25-0",0.306
"8",2018,"Maggie Kichler (5-3)Matt Levy (1-1)Kaitlyn Cooper (8-14)","MAC Freedom","14-18-0",0.438
"9",2017,"Maggie Kichler","MAC Freedom","9-16-0",0.36
"10",2016,"Corey Heulitt","MAC Freedom","15-16-0",0.484
"11",2015,"Corey Heulitt","MAC Freedom","3-25-0",0.107
"12",2014,"Corey Heulitt","MAC Freedom","3-29-0",0.094
"13",2013,"Richard Matarese","MAC Freedom","11-25-0",0.306
"14",2012,"Richard Matarese","MAC Freedom","16-17-0",0.485
"15",2011,"Richard Matarese","MAC Freedom","11-21-0",0.344
"16",2010,"Richard Matarese","MAC Freedom","15-16-0",0.484
"17",2009,"Richard Matarese","MAC Freedom","14-16-0",0.467
"18",2008,"Richard Matarese","MAC Freedom","18-19-0",0.486
"19",2007,"Richard Matarese","MAC Freedom","16-14-0",0.533
"20",2006,"Richard Matarese","MAC Freedom","15-20-0",0.429
"21",2005,"Richard Matarese","MAC Freedom","14-23-0",0.378
"22",2004,"Richard Matarese","MAC Freedom","8-25-0",0.242
"23",2003,"Tom Wuerstle","MAC Freedom","7-19-0",0.269
"24",2002,"Tom Wuerstle","MAC Freedom","11-25-0",0.306
"25",2001,"Tom Wuerstle","-","2-21-0",0.087
"26",2000,"Tom Wuerstle","-","3-23-0",0.115
"27",1999,"Linda Fleischer","-","2-23-0",0.08
"28",1998,"Linda Fleischer","-","5-24-0",0.172
"29",1997,"Linda Fleischer","-","6-25-0",0.194
"30",1996,"Linda Fleischer","-","12-16-1",0.429
"31",1995,"Linda Fleischer","-","17-13-0",0.567
"32",1994,"Linda Fleischer","-","11-19-0",0.367
"33",1993,"Linda Fleischer","-","12-13-0",0.48
