"","season","head_coach","conference","record","win_perc"
"1",2025,"Melissa Frost","GLVC","27-15-0",0.643
"2",2024,"Melissa Frost","GLVC","60-7-0",0.896
"3",2023,"Melissa Frost","GLVC","53-10-0",0.841
"4",2022,"Melissa Frost","GLVC","48-10-0",0.828
"5",2021,"Melissa Frost","GLVC","47-7-0",0.87
"6",2020,"Melissa Frost","GLVC","14-5-0",0.737
"7",2019,"Melissa Frost","GLVC","49-17-0",0.742
"8",2018,"Melissa Frost","GLVC","39-20-0",0.661
"9",2017,"Melissa Frost","GLVC","33-21-0",0.611
"10",2016,"Melissa Frost","GLVC","51-5-0",0.911
"11",2015,"Melissa Frost","GLVC","48-15-0",0.762
"12",2014,"Melissa Frost","GLVC","44-13-0",0.772
"13",2013,"Melissa Frost","GLVC","54-8-0",0.871
"14",2012,"Melissa Frost","GLVC","50-9-0",0.847
"15",2011,"Melissa Frost","GLVC","36-14-1",0.72
"16",2010,"Melissa Frost","GLVC","36-17-0",0.679
"17",2009,"Melissa Frost","GLVC","37-21-0",0.638
"18",2008,"Melissa Frost","GLVC","39-28-0",0.582
"19",2007,"Melissa Frost","GLVC","25-22-0",0.532
"20",2006,"Melissa Frost","GLVC","31-19-0",0.62
"21",2005,"Melissa Frost","GLVC","27-18-0",0.6
"22",2004,"Jackie Nebelsiek","GLVC","14-26-0",0.35
"23",2003,"Bob Young","GLVC","26-20-0",0.565
"24",2002,"Bob Young","GLVC","9-30-1",0.231
"25",2001,"Jody Rogers","-","20-24-1",0.455
"26",2000,"Jody Rogers","-","15-29-0",0.341
"27",1999,"Jody Rogers","-","16-20-0",0.444
"28",1998,"Sue Willey","-","20-27-0",0.426
"29",1997,"Sue Willey","-","13-28-1",0.317
"30",1996,"Sue Willey","-","28-17-0",0.622
"31",1995,"Sue Willey","-","27-17-0",0.614
"32",1994,"Sue Willey","-","24-20-0",0.545
"33",1993,"Sue Willey","-","27-16-1",0.628
"34",1992,"Sue Willey","-","21-16-0",0.568
"35",1991,"Sue Willey","-","27-9-0",0.75
"36",1990,"Sue Willey","-","24-7-0",0.774
"37",1989,"Sue Willey","-","16-9-0",0.64
"38",1988,"Sue Willey","-","23-14-1",0.622
"39",1987,"Sue Willey","-","15-11-0",0.577
"40",1986,"Sue Willey","-","14-10-0",0.583
"41",1984,"Sue Willey","-","6-16-0",0.273
"42",1983,"Sue Willey","-","6-14-1",0.3
"43",1982,"Sue Willey","-","4-17-0",0.19
"44",1981,"Sue Willey","-","5-14-0",0.263
"45",1980,"Sue Willey","-","7-12-0",0.368
"46",1979,"Sue Willey","-","8-8-0",0.5
