"","season","head_coach","conference","record","win_perc"
"1",2025,"Taylor Smartt","The American","15-19-0",0.441
"2",2024,"AJ Daugherty","The American","23-29-0",0.442
"3",2023,"AJ Daugherty","CUSA","29-25-0",0.537
"4",2022,"Joe Guthrie","CUSA","25-24-0",0.51
"5",2021,"Joe Guthrie","CUSA","31-19-0",0.62
"6",2020,"Jimmy Kolaitis","CUSA","15-11-0",0.577
"7",2019,"Jimmy Kolaitis","CUSA","19-31-0",0.38
"8",2018,"Amanda Ellis","CUSA","26-32-1",0.448
"9",2017,"Marla Townsend","CUSA","21-33-0",0.389
"10",2016,"Marla Townsend","CUSA","27-32-0",0.458
"11",2015,"Marla Townsend","CUSA","32-19-0",0.627
"12",2014,"Marla Townsend","CUSA","32-27-0",0.542
"13",2013,"Marla Townsend","CUSA","40-19-0",0.678
"14",2012,"Marla Townsend","CUSA","37-22-0",0.627
"15",2011,"Marla Townsend","CUSA","39-19-0",0.672
"16",2010,"Marla Townsend","CUSA","37-22-0",0.627
"17",2009,"Marla Townsend","CUSA","21-34-0",0.382
"18",2008,"Marla Townsend","CUSA","24-35-0",0.407
"19",2007,"Marla Townsend","CUSA","31-27-0",0.534
"20",2006,"Marla Townsend","CUSA","31-22-0",0.585
"21",2005,"Marla Townsend","CUSA","23-37-0",0.383
"22",2004,"Marla Townsend","CUSA","20-36-0",0.357
"23",2003,"Marla Townsend","CUSA","28-28-0",0.5
"24",2002,"Marla Townsend","CUSA","39-22-0",0.639
"25",2001,"Marla Townsend","CUSA","27-35-0",0.435
"26",2000,"Marla Townsend","-","23-38-0",0.377
