"","season","head_coach","conference","record","win_perc"
"1",2025,"Nick French","America East","11-21-0",0.344
"2",2024,"Nick French","America East","34-17-0",0.667
"3",2023,"Nick French","America East","18-29-0",0.383
"4",2022,"Nick French","NEC","15-27-0",0.357
"5",2021,"Nick French","NEC","3-24-0",0.111
"6",2020,"Nick French","NEC","4-12-0",0.25
"7",2019,"Nick French","NEC","13-32-0",0.289
"8",2018,"Shayne Lotito","NEC","14-31-0",0.311
"9",2017,"Shayne Lotito","NEC","12-36-0",0.25
"10",2016,"Shayne Lotito","NEC","12-36-0",0.25
"11",2015,"Shayne Lotito","NEC","17-32-0",0.347
"12",2014,"Shayne Lotito","NEC","32-22-0",0.593
"13",2013,"Lisa-Ann Wallace","NEC","21-22-0",0.488
"14",2012,"Lisa-Ann Wallace","NEC","20-25-0",0.444
"15",2011,"Lisa-Ann Wallace","NEC","25-19-0",0.568
"16",2010,"Lisa-Ann Wallace","NEC","8-37-0",0.178
"17",2009,"Lisa-Ann Wallace","NEC","11-31-0",0.262
"18",2008,"Lisa-Ann Wallace","NE10","30-16-0",0.652
"19",2007,"Lisa-Ann Wallace","NE10","28-18-0",0.609
"20",2006,"Lisa-Ann Wallace","NE10","29-18-0",0.617
"21",2005,"Lisa-Ann Wallace","NE10","29-17-0",0.63
"22",2004,"Lisa-Ann Wallace","NE10","25-15-0",0.625
"23",2003,"Lisa-Ann Wallace","NE10","16-20-0",0.444
"24",2002,"Lisa-Ann Wallace","NE10","22-24-1",0.478
"25",2001,"Lisa-Ann Wallace","-","14-40-0",0.259
"26",2000,"Bob Reall","-","4-37-0",0.098
"27",1999,"Bob Reall","-","8-29-0",0.216
"28",1998,"Bob Reall","-","14-29-0",0.326
"29",1997,"Bob Reall","-","8-20-0",0.286
"30",1996,"Bob Reall","-","5-23-0",0.179
"31",1995,"Bob Reall","-","16-27-0",0.372
"32",1994,"Bob Reall","-","28-21-0",0.571
"33",1993,"Bob Reall","-","17-24-0",0.415
"34",1992,"Bob Reall","-","14-31-0",0.311
"35",1991,"Bob Reall","-","7-26-0",0.212
"36",1990,"Bob Reall","-","21-16-0",0.568
"37",1989,"Bob Reall","-","11-20-0",0.355
