"","season","head_coach","conference","record","win_perc"
"1",2025,"Jenny Allard","ACC","3-2-0",0.6
"2",2024,"Jenny Allard","ACC","17-32-0",0.347
"3",2023,"Jodi Hermanek","ACC","24-25-0",0.49
"4",2022,"Jodi Hermanek","ACC","14-27-0",0.341
"5",2021,"Jodi Hermanek","ACC","17-29-0",0.37
"6",2020,"Jodi Hermanek","ACC","8-12-0",0.4
"7",2019,"Jodi Hermanek","ACC","13-41-0",0.241
"8",2018,"Holly Aprile","ACC","33-18-1",0.647
"9",2017,"Holly Aprile","ACC","24-23-0",0.511
"10",2016,"Holly Aprile","ACC","31-21-0",0.596
"11",2015,"Holly Aprile","ACC","37-22-0",0.627
"12",2014,"Holly Aprile","ACC","15-29-0",0.341
"13",2013,"Holly Aprile","The American","19-29-0",0.396
"14",2012,"Holly Aprile","The American","26-26-0",0.5
"15",2011,"Holly Aprile","The American","34-17-0",0.667
"16",2010,"Holly Aprile","The American","27-25-0",0.519
"17",2009,"Holly Aprile","The American","25-24-0",0.51
"18",2008,"Michelle Phalen","The American","31-25-0",0.554
"19",2007,"Michelle Phalen","The American","23-35-0",0.397
"20",2006,"Michelle Phalen","The American","32-27-0",0.542
"21",2005,"Michelle Phalen","The American","23-29-0",0.442
"22",2004,"Michelle Phalen","The American","21-36-0",0.368
"23",2003,"Michelle Phalen","The American","24-31-0",0.436
"24",2002,"Michelle Phalen","The American","21-33-0",0.389
"25",2001,"Michelle Phalen","The American","14-39-0",0.264
"26",2000,"Michelle Phalen","The American","21-28-0",0.429
"27",1999,"Michelle Phalen","The American","16-34-1",0.32
"28",1998,"Michelle Phalen","-","0-12-0",0
