"","season","head_coach","conference","record","win_perc"
"1",2025,"Mike McKenzie","NACC","5-3-0",0.625
"2",2024,"Mike McKenzie","NACC","31-11-0",0.738
"3",2023,"Mike McKenzie","NACC","27-17-0",0.614
"4",2022,"Mike McKenzie","NACC","31-8-0",0.795
"5",2021,"Mike McKenzie","NACC","35-7-0",0.833
"6",2020,"Mike McKenzie","NACC","7-1-0",0.875
"7",2019,"Mike McKenzie","NACC","28-16-0",0.636
"8",2018,"Mike McKenzie","NACC","29-17-0",0.63
"9",2017,"Mike McKenzie","NACC","28-16-0",0.636
"10",2016,"Mike McKenzie","NACC","32-14-0",0.696
"11",2015,"Mike McKenzie","NACC","37-8-0",0.822
"12",2014,"Mike McKenzie","NACC","27-15-0",0.643
"13",2013,"Mike McKenzie","NACC","40-8-1",0.833
"14",2012,"Mike McKenzie","NACC","26-17-0",0.605
"15",2011,"Mike McKenzie","NACC","33-11-0",0.75
"16",2010,"Mike McKenzie","NACC","38-9-0",0.809
"17",2009,"Mike McKenzie","NACC","31-7-0",0.816
"18",2008,"Mike McKenzie","NACC","37-8-0",0.822
"19",2007,"Mike McKenzie","NACC","35-8-0",0.814
"20",2006,"Mike McKenzie","NACC","38-11-0",0.776
"21",2005,"Mike McKenzie","NIIC","40-6-1",0.87
"22",2004,"Mike McKenzie","NIIC","29-11-1",0.725
"23",2003,"Janee' Heath","NIIC","21-18-1",0.538
"24",2002,"Janee' Heath","NIIC","16-25-0",0.39
"25",2001,"Janee' Heath","-","11-38-0",0.224
"26",2000,"Darcy Earley","-","11-23-0",0.324
"27",1999,"Lori Brown","-","15-28-0",0.349
"28",1998,"Lori Brown","-","21-18-1",0.538
"29",1997,"Lori Brown","-","22-13-1",0.629
"30",1996,"Bill Smith","-","18-18-0",0.5
"31",1995,"Robin Voss","-","32-8-1",0.8
"32",1994,"Sam Bedrosian","-","24-15-0",0.615
"33",1993,"Sam Bedrosian","-","23-8-0",0.742
"34",1992,"Sam Bedrosian","-","28-12-0",0.7
"35",1991,"Sam Bedrosian","-","32-7-0",0.821
"36",1990,"Sam Bedrosian","-","31-7-0",0.816
"37",1989,"Sam Bedrosian","-","17-13-0",0.567
"38",1988,"Sam Bedrosian","-","25-15-0",0.625
"39",1987,"Sam Bedrosian","-","22-12-0",0.647
"40",1986,"Sam Bedrosian","-","31-8-0",0.795
"41",1985,"Sam Bedrosian","-","29-5-0",0.853
"42",1984,"Sam Bedrosian","-","16-15-0",0.516
"43",1983,"Sam Bedrosian","-","17-11-0",0.607
"44",1982,"Sam Bedrosian","-","24-12-0",0.667
"45",1981,"Sam Bedrosian","-","16-10-0",0.615
"46",1980,"Sam Bedrosian","-","11-7-0",0.611
"47",1979,"Sam Bedrosian","-","18-0-0",1
"48",1978,"Sam Bedrosian","-","11-3-0",0.786
"49",1977,"Sam Bedrosian","-","8-4-0",0.667
