"","season","head_coach","conference","record","win_perc"
"1",2025,"Emily Lopez","NEWMAC","6-21-0",0.222
"2",2024,"Emily Lopez","NEWMAC","22-17-1",0.564
"3",2023,"Emily Lopez","NEWMAC","14-21-0",0.4
"4",2022,"Emily Lopez","NEWMAC","14-22-0",0.389
"5",2021,"Emily Lopez","NEWMAC","0-0-0",NA
"6",2019,"Emily Lopez","NEWMAC","7-28-1",0.2
"7",2018,"Emily Lopez","NEWMAC","6-29-0",0.171
"8",2017,"Emily Lopez","NEWMAC","11-21-0",0.344
"9",2016,"Kelly O'Connell","NEWMAC","13-20-0",0.394
"10",2015,"Kelly O'Connell","NEWMAC","10-18-0",0.357
"11",2014,"Kelly O'Connell","NEWMAC","23-13-0",0.639
"12",2013,"Kelly O'Connell","NEWMAC","8-23-0",0.258
"13",2012,"Kelly O'Connell","NEWMAC","4-26-0",0.133
"14",2011,"Tori Moshier","NEWMAC","1-29-0",0.033
"15",2010,"Tori Moshier","NEWMAC","2-26-0",0.071
"16",2009,"Julie Perrelli","NEWMAC","6-25-0",0.194
"17",2008,"Julie Perrelli","NEWMAC","14-23-0",0.378
"18",2007,"Julie Perrelli","NEWMAC","16-18-0",0.471
"19",2006,"Bonnie May","NEWMAC","20-16-0",0.556
"20",2005,"Bonnie May","NEWMAC","27-13-0",0.675
"21",2004,"Bonnie May","NEWMAC","34-6-0",0.85
"22",2003,"Bonnie May","NEWMAC","19-12-0",0.613
"23",2002,"Bonnie May","-","18-18-0",0.5
"24",2001,"Bonnie May","-","13-20-0",0.394
"25",2000,"Bonnie May","-","24-16-0",0.6
"26",1999,"Bonnie May","-","27-15-0",0.643
"27",1998,"Bonnie May","-","26-13-0",0.667
"28",1997,"Bonnie May","-","13-11-1",0.542
"29",1996,"Bonnie May","-","12-10-0",0.545
"30",1995,"Bonnie May","-","9-13-0",0.409
"31",1994,"Bonnie May","-","9-14-0",0.391
"32",1993,"Bonnie May","-","6-11-0",0.353
"33",1992,"Bonnie May","-","6-11-0",0.353
"34",1991,"Bonnie May","-","8-12-0",0.4
"35",1990,"Bonnie May","-","15-7-0",0.682
"36",1989,"Bonnie May","-","13-3-0",0.812
"37",1988,"Bonnie May","-","7-11-0",0.389
"38",1987,"Bonnie May","-","8-7-0",0.533
"39",1986,"Bonnie May","-","9-8-0",0.529
"40",1985,"Bonnie May","-","11-7-0",0.611
"41",1984,"Bonnie May","-","8-8-0",0.5
"42",1983,"Bonnie May","-","5-10-0",0.333
"43",1982,"Bonnie May","-","5-10-0",0.333
