"","season","head_coach","conference","record","win_perc"
"1",2025,"Sally Snover","Centennial","10-24-0",0.294
"2",2024,"Sally Snover","Centennial","20-19-1",0.513
"3",2023,"Sally Snover","Centennial","20-19-1",0.513
"4",2022,"Sally Snover","Centennial","16-19-0",0.457
"5",2021,"Sally Snover","Centennial","9-8-0",0.529
"6",2020,"Lacey Lord","Centennial","6-8-0",0.429
"7",2019,"Lacey Lord","Centennial","10-30-0",0.25
"8",2018,"Lacey Lord","Centennial","17-22-0",0.436
"9",2017,"Lacey Lord","Centennial","25-16-0",0.61
"10",2016,"Lacey Lord","Centennial","22-20-0",0.524
"11",2015,"Lacey Lord","Centennial","16-18-0",0.471
"12",2014,"Lacey Lord","Centennial","26-13-1",0.667
"13",2013,"Lacey Lord","Centennial","27-19-0",0.587
"14",2012,"Lacey Lord","Centennial","21-20-0",0.512
"15",2011,"Lacey Lord","Centennial","21-21-0",0.5
"16",2010,"Lacey Lord","Centennial","13-19-0",0.406
"17",2009,"Lacey Lord","Centennial","15-21-1",0.417
"18",2008,"Louie Richardson","Centennial","9-21-0",0.3
"19",2007,"Louie Richardson","Centennial","9-29-0",0.237
"20",2006,"Louie Richardson","Centennial","16-22-0",0.421
"21",2005,"Louie Richardson","Centennial","19-17-0",0.528
"22",2004,"Lin Outten","Centennial","8-21-1",0.276
"23",2003,"Lin Outten","Centennial","14-18-0",0.438
"24",2002,"Lin Outten","Centennial","11-18-1",0.379
"25",2001,"Lin Outten","-","11-21-0",0.344
"26",2000,"William Outten","-","18-14-0",0.562
"27",1999,"William Outten","-","15-19-0",0.441
"28",1998,"Lin Outten","-","9-21-0",0.3
"29",1997,"Lanee Cole-Smith","-","21-9-1",0.7
"30",1996,"Lanee Cole-Smith","-","15-16-0",0.484
"31",1995,"Lanee Cole-Smith","-","13-11-0",0.542
"32",1994,"Lanee Cole-Smith","-","7-15-0",0.318
"33",1993,"Lanee Cole-Smith","-","3-14-0",0.176
