"","season","head_coach","conference","record","win_perc"
"1",2025,"Ty Singleton","Sunshine State","3-9-0",0.25
"2",2024,"Ty Singleton","Sunshine State","15-26-0",0.366
"3",2023,"Ty Singleton","Sunshine State","15-27-0",0.357
"4",2022,"Ty Singleton","Sunshine State","14-26-0",0.35
"5",2021,"Jessica Cooley","Sunshine State","17-12-0",0.586
"6",2020,"Jessica Cooley","Sunshine State","15-11-0",0.577
"7",2019,"Bailey Castro","Sunshine State","27-24-0",0.529
"8",2018,"Bailey Castro","Sunshine State","36-8-0",0.818
"9",2017,"Kimmy Bloemers","-","32-17-0",0.653
"10",2016,"Kimmy Bloemers","-","34-15-0",0.694
"11",2015,"Kimmy Bloemers","-","33-22-0",0.6
"12",2014,"Kimmy Bloemers","-","30-16-0",0.652
"13",2013,"Kimmy Bloemers","-","27-23-0",0.54
"14",2012,"Kimmy Bloemers","Palm Beach Atl.","30-21-0",0.588
"15",2011,"Kimmy Bloemers","Palm Beach Atl.","27-19-0",0.587
"16",2010,"Kimmy Bloemers","Palm Beach Atl.","36-13-0",0.735
"17",2009,"Kimmy Bloemers","-","33-22-0",0.6
"18",2008,"Kimmy Bloemers","-","33-24-0",0.579
"19",2007,"Kimmy Bloemers","-","22-33-0",0.4
