"","season","head_coach","conference","record","win_perc"
"1",2025,"Art Williams","SLIAC","4-10-0",0.286
"2",2024,"Art Williams","SLIAC","23-19-0",0.548
"3",2023,"Art Williams","SLIAC","29-13-0",0.69
"4",2022,"Art Williams","SLIAC","22-16-0",0.579
"5",2021,"Art Williams","SLIAC","15-13-0",0.536
"6",2020,"Art Williams","SLIAC","0-2-0",0
"7",2019,"Art Williams","SLIAC","28-15-0",0.651
"8",2018,"Art Williams","SLIAC","16-14-0",0.533
"9",2017,"Art Williams","SLIAC","19-17-0",0.528
"10",2016,"Art Williams","SLIAC","13-21-0",0.382
"11",2015,"Art Williams","SLIAC","15-22-0",0.405
"12",2014,"Art Williams","SLIAC","24-16-0",0.6
"13",2013,"Art Williams","SLIAC","20-19-0",0.513
"14",2012,"","SLIAC","31-12-0",0.721
"15",2011,"","SLIAC","21-13-0",0.618
"16",2010,"","SLIAC","16-21-0",0.432
