"","season","head_coach","conference","record","win_perc"
"1",2025,"AubreeAna Avila-Oropeza","Lone Star","4-33-0",0.108
"2",2024,"Sam Mendez","Lone Star","7-44-0",0.137
"3",2023,"Sam Mendez","Lone Star","8-42-0",0.16
"4",2022,"Tiala Tagaloa","Lone Star","21-30-0",0.412
"5",2021,"Tiala Tagaloa","Lone Star","7-33-0",0.175
"6",2020,"Tiala Tagaloa","Lone Star","15-15-0",0.5
"7",2019,"Tiala Tagaloa","Lone Star","10-39-0",0.204
"8",2018,"Tiala Tagaloa","Lone Star","16-36-0",0.308
"9",2017,"Tiala Tagaloa","Lone Star","10-46-0",0.179
"10",2016,"Tiala Tagaloa","Heartland","12-39-0",0.235
"11",2015,"Tiala Tagaloa","Heartland","8-43-0",0.157
"12",2014,"Annalyn Burch","Heartland","13-40-0",0.245
"13",2013,"Annalyn Burch","Heartland","14-36-0",0.28
"14",2012,"Annalyn Burch","Heartland","17-32-0",0.347
"15",2011,"","Heartland","18-27-0",0.4
"16",2010,"","Heartland","18-29-0",0.383
"17",2009,"","Heartland","15-36-0",0.294
