"","season","head_coach","conference","record","win_perc"
"1",2025,"Terry Martin","CCS","4-6-0",0.4
"2",2024,"Terry Martin","CCS","18-21-0",0.462
"3",2023,"Terry Martin","CCS","25-18-0",0.581
"4",2022,"Terry Martin","USA South","32-11-0",0.744
"5",2021,"Terry Martin","USA South","25-13-0",0.658
"6",2020,"Terry Martin","USA South","6-7-0",0.462
"7",2019,"Terry Martin","USA South","31-12-0",0.721
"8",2018,"Terry Martin","USA South","24-18-0",0.571
"9",2017,"Terry Martin","USA South","26-15-0",0.634
"10",2016,"Terry Martin","USA South","29-15-0",0.659
"11",2015,"Terry Martin","USA South","17-14-0",0.548
"12",2014,"Terry Martin","USA South","43-8-0",0.843
"13",2013,"Terry Martin","USA South","34-10-0",0.773
"14",2012,"Terry Martin","Great South","22-15-0",0.595
"15",2011,"Terry Martin","Great South","30-15-0",0.667
"16",2010,"Terry Martin","Great South","29-12-0",0.707
"17",2009,"Terry Martin","Great South","15-17-0",0.469
"18",2008,"Terry Martin","Great South","28-13-0",0.683
"19",2007,"Terry Martin","Great South","20-21-0",0.488
"20",2006,"Terry Martin","Great South","33-11-0",0.75
"21",2005,"Terry Martin","Great South","26-16-0",0.619
"22",2004,"Terry Martin","-","24-16-0",0.6
"23",2003,"Terry Martin","-","21-17-1",0.553
"24",2002,"Terry Martin","-","20-18-0",0.526
"25",2001,"Terry Martin","-","27-14-0",0.659
"26",2000,"Terry Martin","-","18-28-0",0.391
"27",1999,"Terry Martin","-","4-27-0",0.129
