"","season","head_coach","conference","record","win_perc"
"1",2025,"Ben Sorden","OVC","25-18-0",0.581
"2",2024,"Ben Sorden","OVC","19-35-0",0.352
"3",2023,"Ben Sorden","OVC","30-26-0",0.536
"4",2022,"P.J. Finigan","OVC","19-35-0",0.352
"5",2021,"Jessica Jones","OVC","18-21-0",0.462
"6",2020,"Jessica Jones","OVC","13-6-0",0.684
"7",2019,"Jessica Jones","OVC","16-28-0",0.364
"8",2018,"Sandy Montgomery","OVC","25-21-0",0.543
"9",2017,"Sandy Montgomery","OVC","41-13-0",0.759
"10",2016,"Sandy Montgomery","OVC","28-26-0",0.519
"11",2015,"Sandy Montgomery","OVC","43-16-0",0.729
"12",2014,"Sandy Montgomery","OVC","30-23-0",0.566
"13",2013,"Sandy Montgomery","OVC","35-13-0",0.729
"14",2012,"Sandy Montgomery","OVC","23-29-0",0.442
"15",2011,"Sandy Montgomery","OVC","28-30-0",0.483
"16",2010,"Sandy Montgomery","SIUE","27-24-0",0.529
"17",2009,"Sandy Montgomery","OVC","40-10-0",0.8
"18",2008,"Sandy Montgomery","GLVC","49-11-0",0.817
"19",2007,"Sandy Montgomery","GLVC","49-8-0",0.86
"20",2006,"Sandy Montgomery","GLVC","52-11-0",0.825
"21",2005,"Sandy Montgomery","GLVC","41-15-0",0.732
"22",2004,"Sandy Montgomery","GLVC","35-19-0",0.648
"23",2003,"Sandy Montgomery","GLVC","44-11-0",0.8
"24",2002,"Sandy Montgomery","GLVC","51-12-0",0.81
"25",2001,"Sandy Montgomery","-","41-17-0",0.707
"26",2000,"Sandy Montgomery","-","39-19-0",0.672
"27",1999,"Sandy Montgomery","-","33-17-0",0.66
"28",1998,"Sandy Montgomery","-","33-23-0",0.589
"29",1997,"Sandy Montgomery","-","39-13-0",0.75
"30",1996,"Sandy Montgomery","-","34-17-0",0.667
"31",1995,"Sandy Montgomery","-","24-19-0",0.558
"32",1994,"Sandy Montgomery","-","18-25-1",0.419
"33",1993,"Sandy Montgomery","-","23-24-0",0.489
"34",1992,"Sandy Montgomery","-","22-21-0",0.512
"35",1991,"Sandy Montgomery","-","35-16-0",0.686
"36",1990,"Sandy Montgomery","-","34-13-0",0.723
"37",1989,"Sandy Montgomery","-","35-24-1",0.593
