"","season","head_coach","conference","record","win_perc"
"1",2025,"Kasey Griffith","MVC","11-25-0",0.306
"2",2024,"Holly Hesse","MVC","19-32-0",0.373
"3",2023,"Holly Hesse","MVC","31-20-0",0.608
"4",2022,"Holly Hesse","MVC","28-20-0",0.583
"5",2021,"Holly Hesse","MVC","26-17-0",0.605
"6",2020,"Holly Hesse","MVC","7-12-0",0.368
"7",2019,"Holly Hesse","MVC","30-21-0",0.588
"8",2018,"Holly Hesse","MVC","32-20-0",0.615
"9",2017,"Holly Hesse","MVC","23-26-0",0.469
"10",2016,"Holly Hesse","MVC","22-30-0",0.423
"11",2015,"Holly Hesse","MVC","30-25-0",0.545
"12",2014,"Holly Hesse","MVC","28-27-0",0.509
"13",2013,"Holly Hesse","MVC","22-30-0",0.423
"14",2012,"Holly Hesse","MVC","25-26-0",0.49
"15",2011,"Holly Hesse","MVC","30-25-0",0.545
"16",2010,"Holly Hesse","MVC","21-32-0",0.396
"17",2009,"Holly Hesse","MVC","19-25-0",0.432
"18",2008,"Holly Hesse","MVC","28-22-0",0.56
"19",2007,"Holly Hesse","MVC","21-29-0",0.42
"20",2006,"Holly Hesse","MVC","40-17-0",0.702
"21",2005,"Holly Hesse","MVC","26-25-1",0.51
"22",2004,"Holly Hesse","MVC","29-29-0",0.5
"23",2003,"Holly Hesse","MVC","29-25-0",0.537
"24",2002,"Holly Hesse","MVC","23-28-0",0.451
"25",2001,"Holly Hesse","MVC","15-33-0",0.312
"26",2000,"Holly Hesse","MVC","30-28-0",0.517
"27",1999,"Holly Hesse","MVC","28-22-1",0.56
"28",1998,"Holly Hesse","-","31-22-0",0.585
"29",1997,"Holly Hesse","MVC","35-26-0",0.574
"30",1996,"Holly Hesse","-","34-22-0",0.607
"31",1995,"Holly Hesse","-","22-25-0",0.468
"32",1994,"Holly Hesse","-","38-13-0",0.745
"33",1993,"Holly Hesse","-","28-21-0",0.571
"34",1992,"Holly Hesse","-","24-28-0",0.462
"35",1991,"Holly Hesse","-","22-26-0",0.458
"36",1990,"Holly Hesse","-","15-23-0",0.395
"37",1989,"Holly Hesse","-","11-37-0",0.229
