"","season","head_coach","conference","record","win_perc"
"1",2025,"Ali Maloof","NEC","9-22-0",0.29
"2",2024,"Ali Maloof","NEC","14-37-0",0.275
"3",2023,"Ali Maloof","NEC","4-42-0",0.087
"4",2022,"Ali Maloof","NE10","15-23-0",0.395
"5",2021,"Ken LeGrice","NE10","5-24-0",0.172
"6",2020,"Ken LeGrice","NE10","7-5-0",0.583
"7",2019,"Ken LeGrice","NE10","15-24-0",0.385
"8",2018,"Ken LeGrice","NE10","8-31-0",0.205
"9",2017,"Ken LeGrice","NE10","11-30-0",0.268
"10",2016,"Ken LeGrice","NE10","23-17-0",0.575
"11",2015,"Ken LeGrice","NE10","21-15-0",0.583
"12",2014,"Ken LeGrice","NE10","20-25-0",0.444
"13",2013,"Ken LeGrice","NE10","27-25-1",0.519
"14",2012,"Ken LeGrice","NE10","24-15-0",0.615
"15",2011,"Ken LeGrice","NE10","18-28-0",0.391
"16",2010,"Ken LeGrice","NE10","20-19-1",0.513
"17",2009,"Danielle Delude","NE10","13-27-0",0.325
"18",2008,"Danielle Delude","NE10","23-20-0",0.535
"19",2007,"Danielle Delude","NE10","13-24-1",0.351
"20",2006,"Danielle Delude","NE10","21-18-1",0.538
"21",2005,"Danielle Delude","NE10","13-25-1",0.342
"22",2004,"Danielle Delude","NE10","6-28-0",0.176
"23",2002,"Julie Szala","-","9-30-0",0.231
"24",2001,"Julie Szala","-","23-14-1",0.622
"25",2000,"Julie Szala","-","19-14-0",0.576
"26",1999,"Julie Szala","-","17-19-0",0.472
"27",1998,"John Campbell","-","16-18-0",0.471
"28",1997,"John Campbell","-","14-18-0",0.438
"29",1996,"Kathleen Tracy","-","8-21-0",0.276
"30",1995,"Kathleen Tracy","-","15-19-0",0.441
"31",1994,"Jennifer Clifford","-","10-25-0",0.286
"32",1993,"Jennifer Clifford","-","3-22-0",0.12
