"","team_name","team_id","season","head_coach","division","conference","wins","losses","ties","win_perc"
"1","Eastern Nazarene","1064","2024","Tyler Pagaduan","D-III","North Atlantic",11,25,0,0.306
"2","Eastern Nazarene","1064","2023","Tyler Pagaduan","D-III","NECC",22,21,0,0.512
"3","Eastern Nazarene","1064","2022","Claire Roll","D-III","NECC",22,22,0,0.5
"4","Eastern Nazarene","1064","2021","Lauren Clements","D-III","NECC",24,7,0,0.774
"5","Eastern Nazarene","1064","2020","Dani Bishop","D-III","NECC",7,5,0,0.583
"6","Eastern Nazarene","1064","2019","Dani Bishop","D-III","NECC",29,15,0,0.659
"7","Eastern Nazarene","1064","2018","Dani Bishop","D-III","CNE",28,12,NA,0.7
"8","Eastern Nazarene","1064","2017","Dani Bishop","D-III","CNE",19,18,0,0.514
"9","Eastern Nazarene","1064","2016","Dani Bishop","D-III","CNE",16,25,0,0.39
"10","Eastern Nazarene","1064","2015","Stephanie Gillett","D-III","CNE",1,5,0,0.167
"11","Eastern Nazarene","1064","2014","Stephanie Gillett","D-III","CNE",7,21,0,0.25
"12","Eastern Nazarene","1064","2013","Leah Hampton","D-III","CNE",10,24,0,0.294
"13","Eastern Nazarene","1064","2012","Leah Hampton","D-III","CNE",15,24,0,0.385
"14","Eastern Nazarene","1064","2011","Leah Hampton","D-III","CNE",12,22,0,0.353
"15","Eastern Nazarene","1064","2010","Rebecca Long","D-III","CNE",4,28,0,0.125
"16","Eastern Nazarene","1064","2009","Rebecca Long","D-III","CNE",16,19,0,0.457
"17","Eastern Nazarene","1064","2008","Doug Sorensen","D-III","CNE",8,28,0,0.222
"18","Eastern Nazarene","1064","2007","Jody Gardner","D-III","CNE",7,24,1,0.234
"19","Eastern Nazarene","1064","2006","Jody Gardner","D-III","CNE",8,24,0,0.25
"20","Eastern Nazarene","1064","2005","Jody Gardner","D-III","CNE",2,28,0,0.067
"21","Eastern Nazarene","1064","2004","Linnea Anderson","D-III","CNE",3,28,0,0.097
"22","Eastern Nazarene","1064","2003","Steve Wolf","D-III","CNE",0,21,0,0
"23","Eastern Nazarene","1064","2002","Steve Wolf","D-III","CNE",2,26,0,0.071
"24","Eastern Nazarene","1064","2001","Wendy Reid","D-III","-",5,20,NA,0.2
"25","Eastern Nazarene","1064","1900","Wendy Reid","D-III","-",5,24,NA,0.172
"26","Eastern Nazarene","1064","1999","Wendy Reid","D-III","-",4,14,NA,0.222
"27","Eastern Nazarene","1064","1998","Janet Calhoun","D-III","-",0,17,NA,0
"28","Eastern Nazarene","1064","1997","Janet Calhoun","D-III","-",6,11,NA,0.353
"29","Eastern Nazarene","1064","1996","Janet Calhoun","D-III","-",3,15,NA,0.167
"30","Eastern Nazarene","1064","1995","Janet Calhoun","D-III","-",4,8,NA,0.333
"31","Eastern Nazarene","1064","1994","Janet Calhoun","D-III","-",0,17,NA,0
"32","Eastern Nazarene","1064","1993","Joseph Cotton","D-III","-",2,7,NA,0.222
"33","Eastern Nazarene","1064","1992","Joseph Cotton","","-",4,11,1,0.281
"34","Eastern Nazarene","1064","1991","Joseph Cotton","","-",14,10,NA,0.583
"35","Eastern Nazarene","1064","1990","Joseph Cotton","","-",8,10,NA,0.444
"36","Eastern Nazarene","1064","1989","Joseph Cotton","","-",25,27,NA,0.481
"37","Eastern Nazarene","1064","1988","Joseph Cotton","","-",1,1,NA,0.5
"38","Eastern Nazarene","1064","1987","Joseph Cotton","","-",1,1,NA,0.5
"39","Eastern Nazarene","1064","1986","","","-",NA,NA,NA,NA
"40","Eastern Nazarene","1064","1981","","","-",NA,NA,NA,NA
"41","Eastern Nazarene","1064","","","","",355,665,2,0.348
