"","season","head_coach","conference","record","win_perc"
"1",2025,"Laura Matthews","MVC","5-4-0",0.556
"2",2024,"Laura Matthews","MVC","30-20-0",0.6
"3",2023,"Laura Matthews","MVC","29-24-0",0.547
"4",2022,"Laura Matthews","OVC","33-17-0",0.66
"5",2021,"Laura Matthews","OVC","15-26-0",0.366
"6",2020,"Megan Rhodes Smith","OVC","5-14-0",0.263
"7",2019,"Brian Levin","OVC","31-23-0",0.574
"8",2018,"Brian Levin","OVC","25-25-0",0.5
"9",2017,"Brian Levin","OVC","35-22-0",0.614
"10",2016,"Chris Kuhlmeyer","OVC","19-35-0",0.352
"11",2015,"Chris Kuhlmeyer","OVC","13-32-0",0.289
"12",2014,"Chris Kuhlmeyer","OVC","13-36-0",0.265
"13",2013,"Chris Kuhlmeyer","OVC","17-33-0",0.34
"14",2012,"Chris Kuhlmeyer","ASUN","13-36-0",0.265
"15",2011,"Chris Kuhlmeyer","ASUN","11-38-0",0.224
"16",2010,"Chris Kuhlmeyer","ASUN","10-44-0",0.185
"17",2009,"Amy Tudor","ASUN","11-35-0",0.239
"18",2008,"Amy Tudor","ASUN","14-36-0",0.28
"19",2007,"Amy Tudor","ASUN","11-38-0",0.224
"20",2006,"Don Watson","ASUN","15-32-1",0.319
"21",2005,"Jose Garcia","ASUN","16-31-0",0.34
"22",2004,"Jose Garcia","ASUN","15-36-0",0.294
"23",2003,"Tanya Spishak","-","9-39-1",0.188
"24",2002,"Tanya Spishak","ASUN","14-40-0",0.259
"25",2001,"Tanya Spishak","-","15-37-0",0.288
"26",2000,"Charlie Gunter","-","16-40-0",0.286
"27",1999,"Charlie Gunter","-","27-26-0",0.509
"28",1998,"Kim Stanfill","-","5-37-0",0.119
"29",1997,"Traci Corey","-","25-7-0",0.781
"30",1996,"Traci Corey","-","31-19-0",0.62
"31",1995,"Traci Corey","-","38-14-0",0.731
"32",1994,"C.D. Wright","-","42-5-0",0.894
"33",1993,"C.D. Wright","-","37-5-0",0.881
"34",1992,"Karen Green","-","19-9-0",0.679
