"","season","head_coach","conference","record","win_perc"
"1",2025,"Jo Evans","Big West","8-4-0",0.667
"2",2024,"Jo Evans","Big West","20-28-0",0.417
"3",2023,"Jo Evans","Big West","26-22-0",0.542
"4",2022,"Brie Galiciano","Big West","15-39-0",0.278
"5",2021,"Brie Galiciano","Big West","15-31-0",0.326
"6",2020,"Brie Galiciano","Big West","12-16-0",0.429
"7",2019,"Brie Galiciano","Big West","10-42-0",0.192
"8",2018,"Brie Galiciano","Big West","20-34-0",0.37
"9",2017,"Brie Galiciano","Big West","31-28-0",0.525
"10",2016,"Brie Galiciano","Big West","28-28-0",0.5
"11",2015,"Brie Galiciano","Big West","19-35-0",0.352
"12",2014,"Brie Galiciano","Big West","35-21-1",0.625
"13",2013,"Brie Galiciano","Big West","31-24-0",0.564
"14",2012,"Brie Galiciano","Big West","30-28-0",0.517
"15",2011,"Brie Galiciano","Big West","27-26-0",0.509
"16",2010,"Brie Galiciano","Big West","15-37-0",0.288
"17",2009,"Brie Galiciano","Big West","26-25-0",0.51
"18",2008,"Brie Galiciano","Big West","30-24-0",0.556
"19",2007,"Kristy Schroeder","Big West","30-23-0",0.566
"20",2006,"Kristy Schroeder","Big West","24-22-0",0.522
"21",2005,"Kristy Schroeder","Big West","26-22-0",0.542
"22",2004,"Kristy Schroeder","Big West","32-31-0",0.508
"23",2003,"Kristy Schroeder","Big West","34-22-0",0.607
"24",2002,"Kristy Schroeder","Big West","27-36-0",0.429
"25",2001,"Liz Kelly","Big West","18-34-0",0.346
"26",2000,"Liz Kelly","Big West","30-21-0",0.588
"27",1999,"Liz Kelly","Big West","24-30-0",0.444
"28",1998,"Liz Kelly","-","25-25-0",0.5
"29",1997,"Liz Kelly","Big West","24-35-0",0.407
"30",1996,"Liz Kelly","-","20-30-0",0.4
"31",1995,"Liz Kelly","-","24-35-0",0.407
"32",1994,"Frann Wageneck","-","23-33-0",0.411
"33",1993,"Sandy Pearce","-","22-29-0",0.431
"34",1992,"Sandy Pearce","-","19-29-0",0.396
"35",1991,"Brenda Greene","-","18-43-0",0.295
"36",1990,"Brenda Greene","-","23-34-0",0.404
"37",1989,"Brenda Greene","-","25-29-0",0.463
"38",1988,"Brenda Greene","-","6-50-0",0.107
"39",1987,"Brenda Greene","-","33-30-0",0.524
"40",1986,"Brenda Greene","-","20-30-0",0.4
