"","season","head_coach","conference","record","win_perc"
"1",2025,"Frank Reed","SoCon","26-11-0",0.703
"2",2024,"Frank Reed","SoCon","42-16-0",0.724
"3",2023,"Frank Reed","SoCon","25-27-0",0.481
"4",2022,"Frank Reed","SoCon","30-27-0",0.526
"5",2021,"Frank Reed","SoCon","13-25-0",0.342
"6",2020,"Frank Reed","SoCon","7-14-0",0.333
"7",2019,"Frank Reed","SoCon","37-17-0",0.685
"8",2018,"Frank Reed","SoCon","26-30-0",0.464
"9",2017,"Frank Reed","SoCon","15-38-0",0.283
"10",2016,"Frank Reed","SoCon","30-29-0",0.508
"11",2015,"Frank Reed","SoCon","35-15-0",0.7
"12",2014,"Frank Reed","SoCon","34-21-0",0.618
"13",2013,"Frank Reed","SoCon","26-28-0",0.481
"14",2012,"Frank Reed","SoCon","39-16-0",0.709
"15",2011,"Frank Reed","SoCon","44-14-0",0.759
"16",2010,"Frank Reed","SoCon","39-17-0",0.696
"17",2009,"Frank Reed","SoCon","30-24-0",0.556
"18",2008,"Frank Reed","SoCon","41-22-0",0.651
"19",2007,"Frank Reed","SoCon","35-31-0",0.53
"20",2006,"Frank Reed","SoCon","38-35-0",0.521
"21",2005,"Frank Reed","SoCon","46-21-0",0.687
"22",2004,"Frank Reed","SoCon","45-25-0",0.643
"23",2003,"Frank Reed","SoCon","37-30-0",0.552
"24",2002,"Frank Reed","SoCon","44-15-0",0.746
"25",2001,"Ralph Weekly (49-18)Karen Weekly (49-18)","SoCon","49-18-0",0.731
"26",2000,"Karen Weekly","SoCon","47-27-0",0.635
"27",1999,"Karen Weekly","SoCon","48-18-0",0.727
"28",1998,"Karen Weekly (47-15)Ralph Weekly (47-15)","-","47-15-0",0.758
"29",1997,"Karen Weekly (32-19)Ralph Weekly (32-19)","SoCon","32-19-0",0.627
"30",1996,"Ralph Weekly","-","34-15-0",0.694
"31",1995,"Ralph Weekly","-","29-21-0",0.58
"32",1994,"Robert Westling","-","13-26-0",0.333
