"","season","head_coach","conference","record","win_perc"
"1",2025,"Shane Winkler","The American","17-10-0",0.63
"2",2024,"Shane Winkler","The American","38-19-0",0.667
"3",2023,"Shane Winkler","The American","27-28-0",0.491
"4",2022,"Shane Winkler","The American","20-36-0",0.357
"5",2021,"Courtney Oliver","The American","16-33-0",0.327
"6",2020,"Courtney Oliver","The American","14-9-0",0.609
"7",2019,"Courtney Oliver","The American","23-31-0",0.426
"8",2018,"Courtney Oliver","The American","23-32-0",0.418
"9",2017,"Courtney Oliver","The American","26-30-0",0.464
"10",2016,"Courtney Oliver","The American","23-31-0",0.426
"11",2015,"Beth Keylon-Randolph","The American","16-37-0",0.302
"12",2014,"Beth Keylon-Randolph","CUSA","28-20-0",0.583
"13",2013,"Beth Keylon-Randolph","CUSA","21-31-0",0.404
"14",2012,"Tracey Kee","CUSA","25-28-0",0.472
"15",2011,"Tracey Kee","CUSA","41-22-0",0.651
"16",2010,"Tracey Kee","CUSA","44-18-0",0.71
"17",2009,"Tracey Kee","CUSA","40-15-0",0.727
"18",2008,"Tracey Kee","CUSA","37-30-0",0.552
"19",2007,"Tracey Kee","CUSA","40-20-0",0.667
"20",2006,"Tracey Kee","CUSA","40-24-0",0.625
"21",2005,"Tracey Kee","CUSA","55-19-0",0.743
"22",2004,"Tracey Kee","CUSA","47-24-1",0.662
"23",2003,"Tracey Kee","CUSA","24-31-0",0.436
"24",2002,"Tracey Kee","CUSA","38-26-0",0.594
"25",2001,"Tracey Kee","ACC","51-23-0",0.689
"26",2000,"Tracey Kee","ACC","60-17-0",0.779
"27",1999,"Tracey Kee","Big South","50-20-0",0.714
"28",1998,"Tracey Kee","-","43-21-0",0.672
"29",1997,"Tracey Kee","Big South","47-24-0",0.662
"30",1996,"Sue Manahan","-","40-21-1",0.656
"31",1995,"Sue Manahan","-","42-22-0",0.656
"32",1994,"Sue Manahan","-","40-24-0",0.625
"33",1993,"Sue Manahan","-","32-22-0",0.593
"34",1992,"Sue Manahan","-","42-16-0",0.724
"35",1991,"Sue Manahan","-","25-17-0",0.595
"36",1990,"Sue Manahan","-","27-13-0",0.675
"37",1989,"Sue Manahan","-","18-20-0",0.474
"38",1988,"Sue Manahan","-","25-14-1",0.641
"39",1987,"Sue Manahan","-","25-17-1",0.595
"40",1986,"Sue Manahan","-","30-18-0",0.625
"41",1985,"Sue Manahan","-","24-17-1",0.585
"42",1984,"Sue Manahan","-","25-15-0",0.625
