"","season","head_coach","conference","record","win_perc"
"1",2025,"Rachel Rhode","Mid-America Intercollegiate","13-27-0",0.325
"2",2024,"Rachel Rhode","Mid-America Intercollegiate","10-35-0",0.222
"3",2023,"Clay Davis","Mid-America Intercollegiate","30-21-0",0.588
"4",2022,"Clay Davis","Mid-America Intercollegiate","28-25-0",0.528
"5",2021,"Clay Davis","Mid-America Intercollegiate","22-21-1",0.512
"6",2020,"Clay Davis","Mid-America Intercollegiate","16-8-0",0.667
"7",2019,"Clay Davis","Mid-America Intercollegiate","28-27-0",0.509
"8",2018,"Clay Davis","Mid-America Intercollegiate","30-26-0",0.536
"9",2017,"Clay Davis","Mid-America Intercollegiate","23-28-0",0.451
"10",2016,"Clay Davis","Mid-America Intercollegiate","32-23-0",0.582
"11",2015,"Clay Davis","Mid-America Intercollegiate","21-30-0",0.412
"12",2014,"Clay Davis","Mid-America Intercollegiate","29-30-0",0.492
"13",2013,"Clay Davis","Mid-America Intercollegiate","27-24-0",0.529
"14",2012,"Dee Gerlach","Northeastern St.","21-25-0",0.457
"15",2011,"Dee Gerlach","Lone Star","18-28-0",0.391
"16",2010,"Dee Gerlach","Lone Star","18-34-0",0.346
"17",2009,"Dee Gerlach","Lone Star","9-35-0",0.205
"18",2008,"Dee Gerlach","Lone Star","24-23-0",0.511
"19",2007,"Dee Gerlach","Lone Star","33-14-0",0.702
"20",2006,"Dee Gerlach","Lone Star","24-18-0",0.571
"21",2005,"Dee Gerlach","Lone Star","29-27-0",0.518
"22",2004,"Dee Gerlach","Lone Star","27-19-0",0.587
"23",2003,"Dee Gerlach","-","15-24-0",0.385
"24",2002,"Dee Gerlach","-","9-35-0",0.205
"25",2001,"Dee Gerlach","-","28-16-1",0.636
"26",2000,"Tim Livesay","-","18-22-0",0.45
"27",1999,"Tim Livesay","-","6-24-0",0.2
