"","season","head_coach","conference","record","win_perc"
"1",2025,"Alyssa Williamson","North Atlantic","2-2-0",0.5
"2",2024,"Alyssa Williamson","North Atlantic","19-11-0",0.633
"3",2023,"Alyssa Williamson","North Atlantic","6-21-0",0.222
"4",2022,"Alyssa Williamson","North Atlantic","7-21-0",0.25
"5",2021,"Kat McKay","North Atlantic","7-13-0",0.35
"6",2019,"Kat McKay","North Atlantic","14-20-0",0.412
"7",2018,"Kat McKay","North Atlantic","9-21-0",0.3
"8",2017,"Kat McKay","North Atlantic","11-21-0",0.344
"9",2016,"Paul Rodrigue","North Atlantic","7-22-0",0.241
"10",2015,"Amy Jones","North Atlantic","5-23-0",0.179
"11",2014,"Jim Smith","North Atlantic","14-14-0",0.5
"12",2013,"Cyndi Pratt","North Atlantic","11-16-0",0.407
"13",2012,"Cyndi Pratt","North Atlantic","10-21-0",0.323
"14",2011,"Cyndi Pratt","North Atlantic","12-19-0",0.387
"15",2010,"Cyndi Pratt","North Atlantic","14-14-0",0.5
"16",2009,"Cyndi Pratt","North Atlantic","17-13-0",0.567
"17",2008,"Bob Leib","North Atlantic","24-9-0",0.727
"18",2007,"Bob Leib","North Atlantic","15-9-0",0.625
"19",2006,"Bob Leib","North Atlantic","21-11-0",0.656
"20",2005,"Bob Leib","North Atlantic","19-14-0",0.576
"21",2004,"Bob Leib","North Atlantic","14-14-0",0.5
"22",2003,"","-","20-14-0",0.588
