"","season","head_coach","conference","record","win_perc"
"1",2025,"Brad Huskisson","Peach Belt","21-7-0",0.75
"2",2024,"Brad Huskisson","Peach Belt","35-24-0",0.593
"3",2023,"Brad Huskisson","Peach Belt","46-16-0",0.742
"4",2022,"Brad Huskisson","Peach Belt","30-24-0",0.556
"5",2021,"Brad Huskisson","Peach Belt","30-14-0",0.682
"6",2020,"Brad Huskisson","Peach Belt","14-9-0",0.609
"7",2019,"Brad Huskisson","Peach Belt","35-16-0",0.686
"8",2018,"Brad Huskisson","Peach Belt","33-19-0",0.635
"9",2017,"Brad Huskisson","Peach Belt","27-26-1",0.509
"10",2016,"Brad Huskisson","Peach Belt","27-26-0",0.509
"11",2015,"Brad Huskisson","Peach Belt","24-26-0",0.48
"12",2014,"Brad Huskisson","Peach Belt","31-20-0",0.608
"13",2013,"Brad Huskisson","Peach Belt","41-20-0",0.672
"14",2012,"Brad Huskisson","Peach Belt","40-20-0",0.667
"15",2011,"Brad Huskisson","Peach Belt","37-16-0",0.698
"16",2010,"Brad Huskisson","Peach Belt","21-28-1",0.429
"17",2009,"Brad Huskisson","Peach Belt","30-31-0",0.492
"18",2008,"Tiffany Tootle","Peach Belt","24-18-0",0.571
"19",2007,"Tiffany Tootle","Peach Belt","58-5-0",0.921
"20",2006,"Tiffany Tootle","Peach Belt","39-15-0",0.722
"21",2005,"Tiffany Tootle","Peach Belt","35-14-0",0.714
"22",2004,"Tiffany Tootle","Peach Belt","32-17-0",0.653
"23",2003,"Tiffany Tootle","Peach Belt","41-13-0",0.759
"24",2002,"Tiffany Tootle","Peach Belt","26-18-0",0.591
"25",2001,"Tiffany Tootle","-","34-15-0",0.694
"26",2000,"Tiffany Tootle","-","39-19-0",0.672
"27",1999,"Judy Favor","-","46-7-0",0.868
"28",1998,"Judy Favor","-","43-11-0",0.796
"29",1997,"Judy Favor","-","43-9-0",0.827
"30",1996,"Judy Favor","-","37-13-0",0.74
"31",1995,"Judy Favor","-","38-12-0",0.76
"32",1994,"Judy Favor","-","39-15-0",0.722
"33",1993,"Judy Favor","-","30-22-0",0.577
"34",1992,"Larry Kees","-","26-132-0",0.165
