"","season","head_coach","conference","record","win_perc"
"1",2025,"Chrissy Schoonmaker","Atlantic 10","22-11-0",0.667
"2",2024,"Chrissy Schoonmaker","Atlantic 10","27-26-0",0.509
"3",2023,"Chrissy Schoonmaker","Atlantic 10","17-28-0",0.378
"4",2022,"Chrissy Schoonmaker","Atlantic 10","36-17-0",0.679
"5",2021,"Shane Winkler","Atlantic 10","37-11-0",0.771
"6",2020,"Shane Winkler","Atlantic 10","10-14-0",0.417
"7",2019,"Shane Winkler","Atlantic 10","44-18-0",0.71
"8",2018,"James DeFeo","Atlantic 10","33-21-0",0.611
"9",2017,"James DeFeo","Atlantic 10","28-24-0",0.538
"10",2016,"Stacey Schramm","Atlantic 10","23-29-0",0.442
"11",2015,"Stacey Schramm","Atlantic 10","25-23-0",0.521
"12",2014,"Stacey Schramm","Atlantic 10","18-31-1",0.367
"13",2013,"Stacey Schramm","Atlantic 10","27-23-0",0.54
"14",2012,"Stacey Schramm","Atlantic 10","25-30-0",0.455
"15",2011,"Stacey Schramm","Atlantic 10","16-27-1",0.372
"16",2010,"Kim Staehle","Atlantic 10","6-39-0",0.133
"17",2009,"Kim Staehle","Atlantic 10","16-33-0",0.327
"18",2008,"Kim Staehle","Atlantic 10","12-27-0",0.308
"19",2007,"Kim Staehle","Atlantic 10","23-27-0",0.46
"20",2006,"JoAnne Ferguson","Atlantic 10","24-28-0",0.462
"21",2005,"JoAnne Ferguson","Atlantic 10","10-34-0",0.227
"22",2004,"Shaunte Fremin","Atlantic 10","1-5-1",0.167
"23",2003,"Leslie King","Atlantic 10","3-36-0",0.077
