"","season","head_coach","conference","record","win_perc"
"1",2025,"Les Stuedeman","Gulf South","13-14-0",0.481
"2",2024,"Les Stuedeman","Gulf South","40-18-0",0.69
"3",2023,"Les Stuedeman","Gulf South","46-11-0",0.807
"4",2022,"Les Stuedeman","Gulf South","41-17-0",0.707
"5",2021,"Les Stuedeman","Gulf South","32-14-0",0.696
"6",2020,"Les Stuedeman","Gulf South","15-8-0",0.652
"7",2019,"Les Stuedeman","Gulf South","39-17-0",0.696
"8",2018,"Les Stuedeman","Gulf South","39-18-0",0.684
"9",2017,"Les Stuedeman","Gulf South","42-17-0",0.712
"10",2016,"Les Stuedeman","Gulf South","40-17-0",0.702
"11",2015,"Les Stuedeman","Gulf South","40-16-0",0.714
"12",2014,"Les Stuedeman","Gulf South","48-12-0",0.8
"13",2013,"Les Stuedeman","Gulf South","43-17-0",0.717
"14",2012,"Les Stuedeman","Gulf South","42-16-0",0.724
"15",2011,"Les Stuedeman","Gulf South","48-6-1",0.889
"16",2010,"Les Stuedeman","Gulf South","41-12-0",0.774
"17",2009,"Les Stuedeman","Gulf South","54-6-0",0.9
"18",2008,"Les Stuedeman","Gulf South","52-9-0",0.852
"19",2007,"Les Stuedeman","Gulf South","45-18-0",0.714
"20",2006,"Les Stuedeman","Gulf South","52-17-0",0.754
"21",2005,"Les Stuedeman","Gulf South","52-16-0",0.765
"22",2004,"Les Stuedeman","Gulf South","48-11-0",0.814
"23",2003,"Les Stuedeman","Gulf South","46-18-0",0.719
"24",2002,"Les Stuedeman","Gulf South","42-19-0",0.689
"25",2001,"Les Stuedeman","-","52-14-0",0.788
"26",2000,"Les Stuedeman","-","56-14-0",0.8
"27",1999,"Les Stuedeman","-","62-12-0",0.838
"28",1998,"Les Stuedeman","-","45-17-0",0.726
"29",1997,"Les Stuedeman","-","24-23-0",0.511
"30",1996,"Les Stuedeman","-","42-21-0",0.667
