"","season","head_coach","conference","record","win_perc"
"1",2025,"James Rubbelke","MIAC","2-3-0",0.4
"2",2024,"James Rubbelke","MIAC","16-20-0",0.444
"3",2023,"James Rubbelke","MIAC","16-19-1",0.457
"4",2022,"James Rubbelke","MIAC","17-15-1",0.531
"5",2021,"James Rubbelke","MIAC","6-22-0",0.214
"6",2020,"James Rubbelke","MIAC","4-1-0",0.8
"7",2019,"James Rubbelke","MIAC","25-17-0",0.595
"8",2018,"James Rubbelke","MIAC","17-19-0",0.472
"9",2017,"James Rubbelke","MIAC","23-15-0",0.605
"10",2016,"James Rubbelke","MIAC","26-17-0",0.605
"11",2015,"James Rubbelke","MIAC","27-13-0",0.675
"12",2014,"James Rubbelke","MIAC","18-17-1",0.514
"13",2013,"James Rubbelke","MIAC","18-16-0",0.529
"14",2012,"James Rubbelke","MIAC","10-28-0",0.263
"15",2011,"James Rubbelke","MIAC","21-19-0",0.525
"16",2010,"James Rubbelke","MIAC","19-19-0",0.5
"17",2009,"James Rubbelke","MIAC","28-11-0",0.718
"18",2008,"James Rubbelke","MIAC","26-14-0",0.65
"19",2007,"Janelle Tieken","MIAC","21-15-1",0.583
"20",2006,"Janelle Tieken","MIAC","19-21-0",0.475
"21",2005,"Janelle Tieken","MIAC","21-20-0",0.512
"22",2004,"Janelle Tieken","MIAC","26-16-0",0.619
"23",2003,"Janelle Tieken","MIAC","28-10-0",0.737
"24",2002,"Janelle Tieken","MIAC","26-12-0",0.684
"25",2001,"Janelle Tieken","-","11-23-1",0.324
"26",1999,"Janelle Tieken","-","15-19-0",0.441
"27",1998,"Katharine Romme","-","14-18-0",0.438
"28",1997,"Katharine Romme","-","17-17-0",0.5
"29",1996,"Katharine Romme","-","12-18-0",0.4
"30",1995,"Katharine Romme","-","12-23-0",0.343
"31",1994,"Katharine Romme","-","12-18-0",0.4
"32",1993,"Katharine Romme","-","7-21-0",0.25
"33",1992,"Katharine Romme","-","9-11-0",0.45
"34",1991,"Katharine Romme","-","3-17-0",0.15
