"","team_name","team_id","season","head_coach","division","conference","wins","losses","ties","win_perc"
"1","TCNJ","712","2025","Sally Miller","D-III","NJAC",0,0,0,0
"2","TCNJ","712","2024","Sally Miller","D-III","NJAC",26,11,0,0.703
"3","TCNJ","712","2023","Sally Miller","D-III","NJAC",32,11,0,0.744
"4","TCNJ","712","2022","Sally Miller","D-III","NJAC",28,11,0,0.718
"5","TCNJ","712","2021","Sally Miller","D-III","NJAC",26,5,0,0.839
"6","TCNJ","712","2020","Sally Miller","D-III","NJAC",4,4,0,0.5
"7","TCNJ","712","2019","Sally Miller","D-III","NJAC",33,9,0,0.786
"8","TCNJ","712","2018","Sally Miller","D-III","NJAC",31,10,NA,0.756
"9","TCNJ","712","2017","Sally Miller","D-III","NJAC",14,17,1,0.453
"10","TCNJ","712","2016","Sally Miller","D-III","NJAC",30,16,0,0.652
"11","TCNJ","712","2015","Sally Miller","D-III","NJAC",20,12,0,0.625
"12","TCNJ","712","2014","Sally Miller","D-III","NJAC",10,24,0,0.294
"13","TCNJ","712","2013","Sally Miller","D-III","NJAC",26,15,0,0.634
"14","TCNJ","712","2012","Sally Miller","D-III","NJAC",26,17,0,0.605
"15","TCNJ","712","2011","Sally Miller","D-III","NJAC",28,14,0,0.667
"16","TCNJ","712","2010","Sally Miller","D-III","NJAC",33,10,0,0.767
"17","TCNJ","712","2009","Sally Miller","D-III","NJAC",24,17,0,0.585
"18","TCNJ","712","2008","Sally Miller","D-III","NJAC",26,17,0,0.605
"19","TCNJ","712","2007","Sally Miller","D-III","NJAC",16,16,0,0.5
"20","TCNJ","712","2006","Sally Miller","D-III","NJAC",25,16,0,0.61
"21","TCNJ","712","2005","Sally Miller","D-III","NJAC",24,14,0,0.632
"22","TCNJ","712","2004","Sally Miller","D-III","NJAC",22,13,1,0.625
"23","TCNJ","712","2003","Sally Miller","D-III","NJAC",23,11,0,0.676
"24","TCNJ","712","2002","Sally Miller","D-III","NJAC",28,14,0,0.667
"25","TCNJ","712","2001","Sally Miller","D-III","-",21,20,NA,0.512
"26","TCNJ","712","1900","Sally Miller","D-III","-",36,9,1,0.793
"27","TCNJ","712","1999","Sally Miller","D-III","-",32,11,NA,0.744
"28","TCNJ","712","1998","Sally Miller","D-III","-",30,9,NA,0.769
"29","TCNJ","712","1997","Sally Miller","D-III","-",35,7,NA,0.833
"30","TCNJ","712","1996","Sally Miller","D-III","-",38,3,NA,0.927
"31","TCNJ","712","1995","June Walker","D-III","-",48,6,NA,0.889
"32","TCNJ","712","1994","June Walker","D-III","-",48,4,NA,0.923
"33","TCNJ","712","1993","June Walker","D-III","-",35,8,NA,0.814
"34","TCNJ","712","1992","June Walker","D-III","-",48,2,NA,0.96
"35","TCNJ","712","1991","June Walker","D-III","-",44,7,NA,0.863
"36","TCNJ","712","1990","June Walker","D-III","-",40,12,NA,0.769
"37","TCNJ","712","1989","June Walker","D-III","-",39,10,NA,0.796
"38","TCNJ","712","1988","June Walker","D-III","-",38,8,NA,0.826
"39","TCNJ","712","1987","June Walker","D-III","-",46,3,NA,0.939
"40","TCNJ","712","1986","June Walker","D-III","-",45,6,NA,0.882
"41","TCNJ","712","1985","June Walker","D-III","-",43,8,NA,0.843
"42","TCNJ","712","1984","June Walker","D-III","-",48,4,NA,0.923
"43","TCNJ","712","1983","June Walker","D-III","-",41,7,NA,0.854
"44","TCNJ","712","1982","June Walker","D-III","-",31,13,NA,0.705
"45","TCNJ","712","1981","June Walker","D-III","-",30,8,NA,0.789
"46","TCNJ","712","1980","June Walker","D-III","-",31,9,NA,0.775
"47","TCNJ","712","1979","June Walker","D-III","-",16,12,NA,0.571
"48","TCNJ","712","1978","June Walker","D-III","-",12,13,NA,0.48
"49","TCNJ","712","1977","June Walker","D-III","-",9,6,NA,0.6
"50","TCNJ","712","1976","June Walker","D-III","-",12,4,NA,0.75
"51","TCNJ","712","1975","June Walker","D-III","-",10,1,NA,0.909
"52","TCNJ","712","1974","June Walker","D-III","-",7,3,NA,0.7
"53","TCNJ","712","","","","",1468,517,3,0.739
