"","season","head_coach","conference","record","win_perc"
"1",2025,"Jenny Rohn","Ivy League","15-8-0",0.652
"2",2024,"Jenny Rohn","Ivy League","27-17-0",0.614
"3",2023,"Jenny Allard","Ivy League","29-17-1",0.63
"4",2022,"Jenny Allard","Ivy League","22-20-0",0.524
"5",2021,"Jenny Allard","Ivy League","0-0-0",NA
"6",2020,"Jenny Allard","Ivy League","2-8-0",0.2
"7",2019,"Jenny Allard","Ivy League","25-19-0",0.568
"8",2018,"Jenny Allard","Ivy League","23-18-0",0.561
"9",2017,"Jenny Allard","Ivy League","22-19-0",0.537
"10",2016,"Jenny Allard","Ivy League","29-17-0",0.63
"11",2015,"Jenny Allard","Ivy League","23-21-0",0.523
"12",2014,"Jenny Allard","Ivy League","28-17-1",0.622
"13",2013,"Jenny Allard","Ivy League","22-22-0",0.5
"14",2012,"Jenny Allard","Ivy League","35-15-0",0.7
"15",2011,"Jenny Allard","Ivy League","36-16-0",0.692
"16",2010,"Jenny Allard","Ivy League","27-23-0",0.54
"17",2009,"Jenny Allard","Ivy League","27-17-0",0.614
"18",2008,"Jenny Allard","Ivy League","25-22-0",0.532
"19",2007,"Jenny Allard","Ivy League","31-15-0",0.674
"20",2006,"Jenny Allard","Ivy League","20-24-0",0.455
"21",2005,"Jenny Allard","Ivy League","18-20-0",0.474
"22",2004,"Jenny Allard","Ivy League","22-20-1",0.524
"23",2003,"Jenny Allard","Ivy League","15-26-0",0.366
"24",2002,"Jenny Allard","Ivy League","31-10-0",0.756
"25",2001,"Jenny Allard","Ivy League","22-23-0",0.489
"26",2000,"Jenny Allard","Ivy League","19-21-0",0.475
"27",1999,"Jenny Allard","Ivy League","20-18-0",0.526
"28",1998,"Jenny Allard","-","34-22-0",0.607
"29",1997,"Jenny Allard","Ivy League","32-19-1",0.627
"30",1996,"Jenny Allard","-","21-17-0",0.553
"31",1995,"Jenny Allard","-","28-14-0",0.667
"32",1994,"Barry Haskell","-","18-25-0",0.419
"33",1993,"Barry Haskell","-","21-16-0",0.568
"34",1992,"Barry Haskell","-","23-14-0",0.622
"35",1991,"Barry Haskell","-","21-17-1",0.553
"36",1990,"Barry Haskell","-","6-31-0",0.162
"37",1989,"Barry Haskell","-","16-15-0",0.516
