"","season","head_coach","conference","record","win_perc"
"1",2025,"Amber Bowman","Horizon","7-16-0",0.304
"2",2024,"Amber Bowman","Horizon","14-33-0",0.298
"3",2023,"Amber Bowman","Horizon","17-32-0",0.347
"4",2022,"Amber Bowman","Horizon","7-42-0",0.143
"5",2021,"Germaine Fairchild","Horizon","12-27-0",0.308
"6",2020,"Germaine Fairchild","Summit League","3-21-0",0.125
"7",2019,"Germaine Fairchild","Summit League","10-39-0",0.204
"8",2018,"Germaine Fairchild","Summit League","19-35-0",0.352
"9",2017,"Germaine Fairchild","Summit League","12-36-0",0.25
"10",2016,"Germaine Fairchild","Summit League","11-40-0",0.216
"11",2015,"Germaine Fairchild","Summit League","3-45-0",0.062
"12",2014,"John Bassett","Summit League","40-15-0",0.727
"13",2013,"Amy Tudor","Summit League","34-16-0",0.68
"14",2012,"Amy Tudor","Summit League","45-14-0",0.763
"15",2011,"Amy Tudor","Summit League","28-15-1",0.651
"16",2010,"Amy Tudor","Summit League","29-19-0",0.604
"17",2009,"Keith Fisher","Summit League","14-24-0",0.368
"18",2008,"Keith Fisher","Summit League","18-24-0",0.429
"19",2007,"Keith Fisher","Summit League","6-26-0",0.188
"20",2006,"Keith Fisher","-","11-33-0",0.25
"21",2005,"Keith Fisher","-","14-35-0",0.286
"22",2004,"Keith Fisher","-","10-31-1",0.244
"23",2003,"Keith Fisher","-","18-25-0",0.419
"24",2002,"Keith Fisher","-","9-27-0",0.25
"25",2001,"Keith Fisher","-","7-33-0",0.175
"26",2000,"Keith Fisher","-","14-36-0",0.28
"27",1999,"Dean Sullivan","-","13-19-0",0.406
"28",1998,"Dic Doumanian","-","5-28-0",0.152
"29",1997,"Dic Doumanian","-","8-29-0",0.216
"30",1996,"Dean Ehle","-","7-19-0",0.269
"31",1995,"Dean Ehle","-","10-19-0",0.345
"32",1994,"Dale Van Houten","-","24-19-1",0.558
"33",1993,"Dale Van Houten","-","22-7-0",0.759
"34",1992,"Dale Van Houten","-","14-16-0",0.467
"35",1991,"Dale Van Houten","-","14-14-0",0.5
"36",1990,"Dale Van Houten","-","5-23-0",0.179
"37",1989,"Dale Van Houten","-","3-16-0",0.158
